应用,权限感知数,权限总数,覆盖率,权限误报数,权限预测数,误报率,要素完整度
AccountKit-QuickLogin,2,2,100.00%,0,2,0.00%,89.00%
AdsKit,2,2,100.00%,0,2,0.00%,89.00%
ArkTS-wphui1.0,0,0,N/A,0,0,N/A,N/A
Health_Service_Kit,4,4,100.00%,0,4,0.00%,97.25%
IntentsKit-codelab-Clientdemo-ArkTS,2,2,100.00%,0,2,0.00%,89.00%
NewsData,1,1,100.00%,0,1,0.00%,89.00%
PaymentKit-CodelabDemo,2,2,100.00%,0,2,0.00%,89.00%
Pedometer,6,6,100.00%,0,6,0.00%,92.67%
Test_login_in_try,0,0,N/A,0,0,N/A,N/A
Test_user_info,0,0,N/A,0,0,N/A,N/A
TodayNews_harmony,1,1,100.00%,0,1,0.00%,89.00%
WebCookie,1,1,100.00%,0,1,0.00%,89.00%
Wechat_HarmonyOS,7,7,100.00%,0,7,0.00%,89.00%
codeLab_API,2,2,100.00%,0,2,0.00%,89.00%
device-security-kit,1,1,100.00%,0,1,0.00%,89.00%
map-kit_-codelab,2,2,100.00%,0,2,0.00%,89.00%
ohbili,4,4,100.00%,0,4,0.00%,89.00%
open_neteasy_cloud,1,1,100.00%,0,1,0.00%,89.00%
TOTAL,38,38,100.00%,0,38,0.00%,90.45%
