应用,信息感知数,信息总数,覆盖率,信息误报数,信息预测数,误报率,要素完整度
AccountKit-QuickLogin,2,2,100.00%,0,2,0.00%,90.83%
AdsKit,1,1,100.00%,0,1,0.00%,90.83%
ArkTS-wphui1.0,1,1,100.00%,0,1,0.00%,90.83%
Health_Service_Kit,2,2,100.00%,0,2,0.00%,90.83%
IntentsKit-codelab-Clientdemo-ArkTS,1,1,100.00%,0,1,0.00%,90.83%
NewsData,0,0,N/A,0,0,N/A,N/A
PaymentKit-CodelabDemo,4,4,100.00%,0,4,0.00%,90.83%
Pedometer,2,2,100.00%,0,2,0.00%,90.83%
Test_login_in_try,2,2,100.00%,0,2,0.00%,90.83%
Test_user_info,17,17,100.00%,0,17,0.00%,90.83%
TodayNews_harmony,3,3,100.00%,0,3,0.00%,96.94%
WebCookie,1,1,100.00%,0,1,0.00%,90.83%
Wechat_HarmonyOS,8,8,100.00%,0,8,0.00%,90.83%
codeLab_API,1,1,100.00%,0,1,0.00%,90.83%
device-security-kit,1,1,100.00%,0,1,0.00%,90.83%
map-kit_-codelab,0,0,N/A,0,0,N/A,N/A
ohbili,3,3,100.00%,0,3,0.00%,90.83%
open_neteasy_cloud,0,0,N/A,0,0,N/A,N/A
TOTAL,49,49,100.00%,0,49,0.00%,91.21%
