api,description
@kit.CoreSpeechKit.speechRecognizer.createEngine,Create a speech recognition engine instance.
@ohos.file.fs.openSync,Synchronously open a file and return a file handle for subsequent I/O.
@ohos.file.fs.readSync,Synchronously read file data into a buffer.
@ohos.file.fs.statSync,Synchronously get file or directory metadata (for example size and timestamps).
@ohos.router.pushUrl,Navigate to a specified page by URL.
@ohos.router.back,Navigate back by popping the top page from the stack.
@ohos.promptAction.showToast,Show a toast message.
@ohos.multimedia.cameraPicker.pick,Launch the system camera/media picker and return the selected or captured media result.
@ohos.multimedia.audio.createAudioCapturer,Create an audio capturer instance (for recording or audio capture).
@ohos.multimedia.audio.createAudioRenderer,Create an audio renderer instance (for audio playback).
@ohos.vibrator.startVibration,Start device vibration with the specified effect or parameters.
@ohos.web.webview.WebCookieManager.fetchCookieSync,Synchronously fetch cookie value for the given URL.
@ohos.web.webview.WebCookieManager.configCookieSync,Synchronously configure and store cookie value for the given URL.
@ohos.web.webview.WebCookieManager.clearAllCookiesSync,Synchronously clear all stored cookies.
@ohos.identifier.oaid.getOAID,Get Open Anonymous Device Identifier (OAID).
@ohos.advertising.showAd,Display the requested advertisement to the user.
@ohos.advertising.AdLoader.loadAd,Request and load advertisement through ad loader.
@ohos.data.preferences.Preferences.put,Save key-value pair to local persistent preferences.
@ohos.data.preferences.Preferences.get,Retrieve key-value pair from local persistent preferences.
@ohos.data.preferences.getPreferences,Get preferences storage instance.
@ohos.display.getDefaultDisplaySync,Get default display device parameters and resolution.
@ohos.display.getAllDisplays,Get all display devices information.
@kit.PaymentKit.paymentService.requestContract,Request payment contract signing and transmit encrypted contract parameters.
@kit.PaymentKit.paymentService.requestPayment,Request payment service and transmit encrypted order transaction parameters.
