相关API,相关权限,敏感数据项,敏感数据子项
@kit.HealthServiceKit.healthStore.init,ohos.permission.DEVICE_UNIQUE_IDENTIFICATION,,
@kit.HealthServiceKit.healthStore.requestAuthorizations,ohos.permission.ACCESS_HEALTH_DATA,,
@kit.HealthServiceKit.healthStore.readData,ohos.permission.HEALTHKIT_DATA_READ,健康数据,健康记录
@kit.HealthServiceKit.healthStore.readDataSource,ohos.permission.HEALTHKIT_DATA_READ,健康数据,健康记录
@kit.HealthServiceKit.healthStore.saveData,ohos.permission.HEALTHKIT_WRITE,健康数据,健康记录
@kit.HealthServiceKit.healthStore.insertDataSource,ohos.permission.HEALTHKIT_WRITE,健康数据,健康记录
@kit.IntentsKit.insightIntent.shareIntent,ohos.permission.INTENT_SEND,,
@kit.IntentsKit.insightIntent.getSid,ohos.permission.LOG,,
@kit.PaymentKit.paymentService.requestPayment,"ohos.permission.ACCESS_NETWORK_STATE ohos.permission.INTERNET",支付记录,支付方式
@kit.PaymentKit.paymentService.requestContract,"ohos.permission.ACCESS_NETWORK_STATE ohos.permission.INTERNET",支付记录,签约信息
@kit.DeviceSecurityKit.deviceCertificate.getDeviceToken,ohos.permission.ACCESS_DEVICE_CERTIFICATE,设备标识,设备证书令牌
