App源码文件路径,导入行号,导入代码,调用行号,调用代码,API功能描述
input/app/AccountKit-QuickLogin/entry/src/main/ets/pages/HomePage.ets,4,import { hilog } from '@kit.PerformanceAnalysisKit';,18,"hilog.info(this.domainId, this.logTag, `${this.logTag} aboutToAppear`);",Outputs info-level logs.
input/app/AccountKit-QuickLogin/entry/src/main/ets/pages/PersonalInfoPage.ets,5,import { hilog } from '@kit.PerformanceAnalysisKit';,16,"hilog.info(this.domainId, this.logTag, `${this.logTag} aboutToAppear`);",Outputs info-level logs.
input/app/AccountKit-QuickLogin/entry/src/main/ets/pages/PersonalInfoPage.ets,5,import { hilog } from '@kit.PerformanceAnalysisKit';,22,"hilog.info(this.domainId, this.logTag, 'Succeeded in logging out.');",Outputs info-level logs.
input/app/AccountKit-QuickLogin/entry/src/main/ets/pages/PersonalInfoPage.ets,5,import { hilog } from '@kit.PerformanceAnalysisKit';,95,"hilog.info(this.domainId, this.logTag, 'PersonalInfoPage onBackPressed');",Outputs info-level logs.
input/app/AccountKit-QuickLogin/entry/src/main/ets/pages/PersonalInfoPage.ets,5,import { hilog } from '@kit.PerformanceAnalysisKit';,99,"hilog.error(this.domainId, this.logTag,",Outputs error-level logs.
input/app/AccountKit-QuickLogin/entry/src/main/ets/pages/PrepareLoginPage.ets,6,import { hilog } from '@kit.PerformanceAnalysisKit';,18,"hilog.info(this.domainId, this.logTag, `${this.logTag} aboutToAppear`);",Outputs info-level logs.
input/app/AccountKit-QuickLogin/entry/src/main/ets/pages/PrepareLoginPage.ets,6,import { hilog } from '@kit.PerformanceAnalysisKit';,51,"hilog.info(this.domainId, this.logTag,",Outputs info-level logs.
input/app/AccountKit-QuickLogin/entry/src/main/ets/pages/PrepareLoginPage.ets,6,import { hilog } from '@kit.PerformanceAnalysisKit';,54,"hilog.error(this.domainId, this.logTag,",Outputs error-level logs.
input/app/AccountKit-QuickLogin/entry/src/main/ets/pages/PrepareLoginPage.ets,6,import { hilog } from '@kit.PerformanceAnalysisKit';,60,"hilog.error(this.domainId, this.logTag,",Outputs error-level logs.
input/app/AccountKit-QuickLogin/entry/src/main/ets/pages/PrepareLoginPage.ets,6,import { hilog } from '@kit.PerformanceAnalysisKit';,104,"hilog.info(this.domainId, this.logTag, 'PrepareLoginPage onBackPressed');",Outputs info-level logs.
input/app/AccountKit-QuickLogin/entry/src/main/ets/pages/PrepareLoginPage.ets,6,import { hilog } from '@kit.PerformanceAnalysisKit';,108,"hilog.error(this.domainId, this.logTag,",Outputs error-level logs.
input/app/AccountKit-QuickLogin/entry/src/main/ets/pages/ProtocolWebView.ets,6,import { display } from '@kit.ArkUI';,32,const displayWidth: number = px2vp(display.getDefaultDisplaySync().width);,Obtain the default display.
input/app/AccountKit-QuickLogin/entry/src/main/ets/pages/ProtocolWebView.ets,5,import { hilog } from '@kit.PerformanceAnalysisKit';,80,"hilog.info(this.domainId, this.logTag,",Outputs info-level logs.
input/app/AccountKit-QuickLogin/entry/src/main/ets/pages/ProtocolWebView.ets,5,import { hilog } from '@kit.PerformanceAnalysisKit';,88,"hilog.error(this.domainId, this.logTag,",Outputs error-level logs.
input/app/AccountKit-QuickLogin/entry/src/main/ets/pages/QuickLoginPage.ets,6,import { hilog } from '@kit.PerformanceAnalysisKit';,70,"hilog.info(this.domainId, this.logTag, 'aboutToAppear');",Outputs info-level logs.
input/app/AccountKit-QuickLogin/entry/src/main/ets/pages/QuickLoginPage.ets,6,import { hilog } from '@kit.PerformanceAnalysisKit';,89,"hilog.error(this.domainId, this.logTag,",Outputs error-level logs.
input/app/AccountKit-QuickLogin/entry/src/main/ets/pages/QuickLoginPage.ets,6,import { hilog } from '@kit.PerformanceAnalysisKit';,103,"hilog.info(this.domainId, this.logTag, 'Succeeded in clicking LoginWithHuaweiIDButton.');",Outputs info-level logs.
input/app/AccountKit-QuickLogin/entry/src/main/ets/pages/QuickLoginPage.ets,6,import { hilog } from '@kit.PerformanceAnalysisKit';,119,"hilog.error(this.domainId, this.logTag,",Outputs error-level logs.
input/app/AccountKit-QuickLogin/entry/src/main/ets/pages/QuickLoginPage.ets,9,import { connection } from '@kit.NetworkKit';,150,const hasNet: boolean = connection.hasDefaultNetSync();,Checks whether the default data network is activated.
input/app/AccountKit-QuickLogin/entry/src/main/ets/pages/QuickLoginPage.ets,6,import { hilog } from '@kit.PerformanceAnalysisKit';,159,"hilog.info(this.domainId, this.logTag, `systemLanguage is ${systemLanguage}`);",Outputs info-level logs.
input/app/AccountKit-QuickLogin/entry/src/main/ets/pages/QuickLoginPage.ets,8,import { buffer } from '@kit.ArkTS';,172,return JSON.parse(buffer.from(value.buffer).toString())[privacyUrl] as string;,Allocates a new Buffer using an array of bytes in the range 0 – 255. Array entries outside that range will be truncated to fit into it.
input/app/AccountKit-QuickLogin/entry/src/main/ets/pages/QuickLoginPage.ets,6,import { hilog } from '@kit.PerformanceAnalysisKit';,174,"hilog.error(this.domainId, this.logTag,",Outputs error-level logs.
input/app/AccountKit-QuickLogin/entry/src/main/ets/pages/QuickLoginPage.ets,6,import { hilog } from '@kit.PerformanceAnalysisKit';,209,"hilog.info(this.domainId, this.logTag, `pageInfos is ${this.pageInfos?.size()}`);",Outputs info-level logs.
input/app/AccountKit-QuickLogin/entry/src/main/ets/pages/QuickLoginPage.ets,6,import { hilog } from '@kit.PerformanceAnalysisKit';,228,"hilog.info(this.domainId, this.logTag, 'Succeeded in loading appIcon.');",Outputs info-level logs.
input/app/AccountKit-QuickLogin/entry/src/main/ets/pages/QuickLoginPage.ets,6,import { hilog } from '@kit.PerformanceAnalysisKit';,231,"hilog.error(this.domainId, this.logTag, 'Failed to load appIcon.');",Outputs error-level logs.
input/app/AccountKit-QuickLogin/entry/src/main/ets/pages/QuickLoginPage.ets,5,"import { loginComponentManager, LoginWithHuaweiIDButton } from '@kit.AccountKit';",268,LoginWithHuaweiIDButton({,未提取到SDK注释；请在 input/csv/sdk_api_description_override.csv 补充该 API 描述（api=@kit.AccountKit.LoginWithHuaweiIDButton）
input/app/AccountKit-QuickLogin/entry/src/main/ets/pages/QuickLoginPage.ets,6,import { hilog } from '@kit.PerformanceAnalysisKit';,301,"hilog.info(this.domainId, this.logTag, `agreementChecked: ${value}`);",Outputs info-level logs.
input/app/AccountKit-QuickLogin/entry/src/main/ets/pages/QuickLoginPage.ets,6,import { hilog } from '@kit.PerformanceAnalysisKit';,344,"hilog.info(this.domainId, this.logTag, 'Click protocol url');",Outputs info-level logs.
input/app/AccountKit-QuickLogin/entry/src/main/ets/pages/QuickLoginPage.ets,6,import { hilog } from '@kit.PerformanceAnalysisKit';,351,"hilog.error(this.domainId, this.logTag,",Outputs error-level logs.
input/app/AccountKit-QuickLogin/entry/src/main/ets/pages/QuickLoginPage.ets,8,import { buffer } from '@kit.ArkTS';,172,return JSON.parse(buffer.from(value.buffer).toString())[privacyUrl] as string;,Decodes buf to a string according to the specified character encoding in encoding
