App源码文件路径,行号,函数名称,描述
input/app/AccountKit-QuickLogin/entry/src/main/ets/pages/HomePage.ets,17,aboutToAppear,组件即将显示时触发的生命周期函数
input/app/AccountKit-QuickLogin/entry/src/main/ets/pages/HomePage.ets,34,build,ArkUI 组件的 UI 构建入口函数
input/app/AccountKit-QuickLogin/entry/src/main/ets/pages/PersonalInfoPage.ets,15,aboutToAppear,组件即将显示时触发的生命周期函数
input/app/AccountKit-QuickLogin/entry/src/main/ets/pages/PersonalInfoPage.ets,25,build,ArkUI 组件的 UI 构建入口函数
input/app/AccountKit-QuickLogin/entry/src/main/ets/pages/PrepareLoginPage.ets,17,aboutToAppear,组件即将显示时触发的生命周期函数
input/app/AccountKit-QuickLogin/entry/src/main/ets/pages/PrepareLoginPage.ets,84,build,ArkUI 组件的 UI 构建入口函数
input/app/AccountKit-QuickLogin/entry/src/main/ets/pages/ProtocolWebView.ets,20,aboutToAppear,组件即将显示时触发的生命周期函数
input/app/AccountKit-QuickLogin/entry/src/main/ets/pages/ProtocolWebView.ets,36,build,ArkUI 组件的 UI 构建入口函数
input/app/AccountKit-QuickLogin/entry/src/main/ets/pages/QuickLoginPage.ets,69,aboutToAppear,组件即将显示时触发的生命周期函数
input/app/AccountKit-QuickLogin/entry/src/main/ets/pages/QuickLoginPage.ets,78,onBackPress,返回键事件回调（页面/组件）
input/app/AccountKit-QuickLogin/entry/src/main/ets/pages/QuickLoginPage.ets,180,build,ArkUI 组件的 UI 构建入口函数
input/app/AccountKit-QuickLogin/entry/src/main/ets/entryability/EntryAbility.ets,13,onCreate,UIAbility 创建时触发的生命周期函数
input/app/AccountKit-QuickLogin/entry/src/main/ets/entryability/EntryAbility.ets,17,onDestroy,UIAbility 销毁时触发的生命周期函数
input/app/AccountKit-QuickLogin/entry/src/main/ets/entryability/EntryAbility.ets,21,onWindowStageCreate,WindowStage 创建时触发的生命周期函数
input/app/AccountKit-QuickLogin/entry/src/main/ets/entryability/EntryAbility.ets,44,onWindowStageDestroy,WindowStage 销毁时触发的生命周期函数
input/app/AccountKit-QuickLogin/entry/src/main/ets/entryability/EntryAbility.ets,48,onForeground,UIAbility 切换到前台时触发的生命周期函数
input/app/AccountKit-QuickLogin/entry/src/main/ets/entryability/EntryAbility.ets,52,onBackground,UIAbility 切换到后台时触发的生命周期函数
