App源码文件路径,导入行号,导入代码,调用行号,调用代码,API功能描述
input/app/AdsKit/entry/src/main/ets/pages/Index.ets,22,import { hilog } from '@kit.PerformanceAnalysisKit';,69,"hilog.error(0x0000, TAG, '%{public}s', `catch err, code:${error.code}, message: ${error.message}`);",Outputs error-level logs.
input/app/AdsKit/entry/src/main/ets/pages/Index.ets,22,import { hilog } from '@kit.PerformanceAnalysisKit';,72,"hilog.info(0x0000, TAG, '%{public}s', 'aboutToAppear');",Outputs info-level logs.
input/app/AdsKit/entry/src/main/ets/pages/Index.ets,22,import { hilog } from '@kit.PerformanceAnalysisKit';,104,"hilog.error(0x0000, TAG, '%{public}s', `request ad errorCode is: ${errorCode}, errorMsg is: ${errorMsg}`);",Outputs error-level logs.
input/app/AdsKit/entry/src/main/ets/pages/Index.ets,19,import { Prompt } from '@kit.ArkUI';,105,Prompt.showToast({,未提取到SDK注释；请在 input/csv/sdk_api_description_override.csv 补充该 API 描述（api=@system.prompt.Prompt.showToast）
input/app/AdsKit/entry/src/main/ets/pages/Index.ets,22,import { hilog } from '@kit.PerformanceAnalysisKit';,112,"hilog.info(0x0000, TAG, '%{public}s', 'succeeded in requesting ad!');",Outputs info-level logs.
input/app/AdsKit/entry/src/main/ets/pages/Index.ets,22,import { hilog } from '@kit.PerformanceAnalysisKit';,115,"hilog.info(0x0000, TAG, '%{public}s', `ads[0].adType is : ${ads[0].adType}`);",Outputs info-level logs.
input/app/AdsKit/entry/src/main/ets/pages/Index.ets,18,"import { advertising, identifier } from '@kit.AdsKit';",119,"advertising.showAd(ads[0], this.adDisplayOptions, this.context);",Show the reward and interstitial ad.
input/app/AdsKit/entry/src/main/ets/pages/Index.ets,20,"import { abilityAccessCtrl, common } from '@kit.AbilityKit';",131,const atManager: abilityAccessCtrl.AtManager = abilityAccessCtrl.createAtManager();,Obtains the AtManager instance.
input/app/AdsKit/entry/src/main/ets/pages/Index.ets,22,import { hilog } from '@kit.PerformanceAnalysisKit';,135,"hilog.info(0x0000, TAG, '%{public}s', 'Succeeded in requesting permission');",Outputs info-level logs.
input/app/AdsKit/entry/src/main/ets/pages/Index.ets,18,"import { advertising, identifier } from '@kit.AdsKit';",136,identifier.getOAID().then((data: string) => {,"Obtain the OAID with callback.
Obtaining OAID requires the permission:ohos.permission.APP_TRACKING_CONSENT, otherwise the obtained OAID is 00000000-0000-0000-0000-000000000000."
input/app/AdsKit/entry/src/main/ets/pages/Index.ets,22,import { hilog } from '@kit.PerformanceAnalysisKit';,138,"hilog.info(0x0000, TAG, '%{public}s', `Succeeded in getting adsIdentifierInfo by promise`);",Outputs info-level logs.
input/app/AdsKit/entry/src/main/ets/pages/Index.ets,22,import { hilog } from '@kit.PerformanceAnalysisKit';,140,"hilog.error(0x0000, TAG, '%{public}s', `Failed to get AdsIdentifierInfo , message: ${error.message}`);",Outputs error-level logs.
input/app/AdsKit/entry/src/main/ets/pages/Index.ets,22,import { hilog } from '@kit.PerformanceAnalysisKit';,143,"hilog.info(0x0000, TAG, '%{public}s', 'user rejected');",Outputs info-level logs.
input/app/AdsKit/entry/src/main/ets/pages/Index.ets,22,import { hilog } from '@kit.PerformanceAnalysisKit';,146,"hilog.error(0x0000, TAG, '%{public}s', `request permission failed, error: ${err.code} ${err.message}`);",Outputs error-level logs.
input/app/AdsKit/entry/src/main/ets/pages/Index.ets,22,import { hilog } from '@kit.PerformanceAnalysisKit';,149,"hilog.error(0x0000, TAG, '%{public}s', `catch err, code:${err.code}, message: ${err.message}`);",Outputs error-level logs.
input/app/AdsKit/entry/src/main/ets/event/InterstitialAdStatusHandler.ets,18,"import { commonEventManager, BusinessError } from '@kit.BasicServicesKit';",39,"commonEventManager.createSubscriber(subscribeInfo,",Creates a subscriber. This API uses an asynchronous callback to return the result.
input/app/AdsKit/entry/src/main/ets/event/InterstitialAdStatusHandler.ets,19,import { hilog } from '@kit.PerformanceAnalysisKit';,42,"hilog.error(0x0000, TAG, '%{public}s', `createSubscriber error, code: ${err.code}, message: ${err.message}`);",Outputs error-level logs.
input/app/AdsKit/entry/src/main/ets/event/InterstitialAdStatusHandler.ets,19,import { hilog } from '@kit.PerformanceAnalysisKit';,45,"hilog.info(0x0000, TAG, '%{public}s', 'Succeeded in creating subscriber');",Outputs info-level logs.
input/app/AdsKit/entry/src/main/ets/event/InterstitialAdStatusHandler.ets,19,import { hilog } from '@kit.PerformanceAnalysisKit';,49,"hilog.info(0x0000, TAG, '%{public}s', 'need create subscriber');",Outputs info-level logs.
input/app/AdsKit/entry/src/main/ets/event/InterstitialAdStatusHandler.ets,18,"import { commonEventManager, BusinessError } from '@kit.BasicServicesKit';",52,"commonEventManager.subscribe(this.subscriber,",Subscribes to a common event. This API uses an asynchronous callback to return the result.
input/app/AdsKit/entry/src/main/ets/event/InterstitialAdStatusHandler.ets,19,import { hilog } from '@kit.PerformanceAnalysisKit';,55,"hilog.error(0x0000, TAG, '%{public}s', `subscribe error, code: ${err.code}, message: ${err.message}`);",Outputs error-level logs.
input/app/AdsKit/entry/src/main/ets/event/InterstitialAdStatusHandler.ets,19,import { hilog } from '@kit.PerformanceAnalysisKit';,58,"hilog.info(0x0000, TAG, '%{public}s', 'subscribe data');",Outputs info-level logs.
