App源码文件路径,导入行号,导入代码,调用行号,调用代码,API功能描述
input/app/ArkTS-wphui1.0/entry/src/main/ets/pages/components/CardDetailPage.ets,1,import router from '@ohos.router';,11,@State cardId : string  = router.getParams()['cardId'];,Obtains information about the current page params.
input/app/ArkTS-wphui1.0/entry/src/main/ets/pages/components/CardDetailPage.ets,1,import router from '@ohos.router';,43,router.back(),Returns to the previous page or a specified page.
input/app/ArkTS-wphui1.0/entry/src/main/ets/pages/components/ManPage.ets,2,import router from '@ohos.router';,68,"router.pushUrl({ url: 'pages/components/CardDetailPage', params: { cardId : item.others } })",Navigates to a specified page in the application based on the page URL and parameters.
input/app/ArkTS-wphui1.0/entry/src/main/ets/entryability/EntryAbility.ts,2,import hilog from '@ohos.hilog';,7,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onCreate');",Outputs info-level logs.
input/app/ArkTS-wphui1.0/entry/src/main/ets/entryability/EntryAbility.ts,2,import hilog from '@ohos.hilog';,11,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onDestroy');",Outputs info-level logs.
input/app/ArkTS-wphui1.0/entry/src/main/ets/entryability/EntryAbility.ts,2,import hilog from '@ohos.hilog';,16,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onWindowStageCreate');",Outputs info-level logs.
input/app/ArkTS-wphui1.0/entry/src/main/ets/entryability/EntryAbility.ts,2,import hilog from '@ohos.hilog';,20,"hilog.error(0x0000, 'testTag', 'Failed to load the content. Cause: %{public}s', JSON.stringify(err) ?? '');",Outputs error-level logs.
input/app/ArkTS-wphui1.0/entry/src/main/ets/entryability/EntryAbility.ts,2,import hilog from '@ohos.hilog';,23,"hilog.info(0x0000, 'testTag', 'Succeeded in loading the content. Data: %{public}s', JSON.stringify(data) ?? '');",Outputs info-level logs.
input/app/ArkTS-wphui1.0/entry/src/main/ets/entryability/EntryAbility.ts,2,import hilog from '@ohos.hilog';,29,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onWindowStageDestroy');",Outputs info-level logs.
input/app/ArkTS-wphui1.0/entry/src/main/ets/entryability/EntryAbility.ts,2,import hilog from '@ohos.hilog';,34,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onForeground');",Outputs info-level logs.
input/app/ArkTS-wphui1.0/entry/src/main/ets/entryability/EntryAbility.ts,2,import hilog from '@ohos.hilog';,39,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onBackground');",Outputs info-level logs.
