App源码文件路径,行号,函数名称,描述
input/app/ArkTS-wphui1.0/entry/src/main/ets/pages/Index.ets,70,build,ArkUI 组件的 UI 构建入口函数
input/app/ArkTS-wphui1.0/entry/src/main/ets/pages/Index.ets,160,build,ArkUI 组件的 UI 构建入口函数
input/app/ArkTS-wphui1.0/entry/src/main/ets/pages/Index.ets,212,build,ArkUI 组件的 UI 构建入口函数
input/app/ArkTS-wphui1.0/entry/src/main/ets/pages/Mine.ets,10,build,ArkUI 组件的 UI 构建入口函数
input/app/ArkTS-wphui1.0/entry/src/main/ets/pages/Shop.ets,22,build,ArkUI 组件的 UI 构建入口函数
input/app/ArkTS-wphui1.0/entry/src/main/ets/pages/TabsExcample.ets,47,build,ArkUI 组件的 UI 构建入口函数
input/app/ArkTS-wphui1.0/entry/src/main/ets/pages/demo/Demo01.ets,12,build,ArkUI 组件的 UI 构建入口函数
input/app/ArkTS-wphui1.0/entry/src/main/ets/pages/demo/Demo01.ets,57,build,ArkUI 组件的 UI 构建入口函数
input/app/ArkTS-wphui1.0/entry/src/main/ets/pages/demo/Demo01.ets,98,build,ArkUI 组件的 UI 构建入口函数
input/app/ArkTS-wphui1.0/entry/src/main/ets/pages/demo/Demo01.ets,137,build,ArkUI 组件的 UI 构建入口函数
input/app/ArkTS-wphui1.0/entry/src/main/ets/pages/demo/Demo01.ets,165,build,ArkUI 组件的 UI 构建入口函数
input/app/ArkTS-wphui1.0/entry/src/main/ets/pages/demo/Demo01.ets,178,build,ArkUI 组件的 UI 构建入口函数
input/app/ArkTS-wphui1.0/entry/src/main/ets/pages/demo/Demo02.ets,12,build,ArkUI 组件的 UI 构建入口函数
input/app/ArkTS-wphui1.0/entry/src/main/ets/pages/demo/Demo03.ets,52,build,ArkUI 组件的 UI 构建入口函数
input/app/ArkTS-wphui1.0/entry/src/main/ets/pages/demo/Demo03.ets,97,build,ArkUI 组件的 UI 构建入口函数
input/app/ArkTS-wphui1.0/entry/src/main/ets/pages/components/CardDetailPage.ets,15,build,ArkUI 组件的 UI 构建入口函数
input/app/ArkTS-wphui1.0/entry/src/main/ets/pages/components/CardDetailPage.ets,37,build,ArkUI 组件的 UI 构建入口函数
input/app/ArkTS-wphui1.0/entry/src/main/ets/pages/components/CardDetailPage.ets,57,build,ArkUI 组件的 UI 构建入口函数
input/app/ArkTS-wphui1.0/entry/src/main/ets/pages/components/CardDetailPage.ets,74,build,ArkUI 组件的 UI 构建入口函数
input/app/ArkTS-wphui1.0/entry/src/main/ets/pages/components/CardDetailPage.ets,100,build,ArkUI 组件的 UI 构建入口函数
input/app/ArkTS-wphui1.0/entry/src/main/ets/pages/components/CardDetailPage.ets,154,build,ArkUI 组件的 UI 构建入口函数
input/app/ArkTS-wphui1.0/entry/src/main/ets/pages/components/CardDetailPage.ets,190,build,ArkUI 组件的 UI 构建入口函数
input/app/ArkTS-wphui1.0/entry/src/main/ets/pages/components/CardDetailPage.ets,221,build,ArkUI 组件的 UI 构建入口函数
input/app/ArkTS-wphui1.0/entry/src/main/ets/pages/components/ComputerPage.ets,9,build,ArkUI 组件的 UI 构建入口函数
input/app/ArkTS-wphui1.0/entry/src/main/ets/pages/components/ComputerPage.ets,18,build,ArkUI 组件的 UI 构建入口函数
input/app/ArkTS-wphui1.0/entry/src/main/ets/pages/components/HomePage.ets,9,build,ArkUI 组件的 UI 构建入口函数
input/app/ArkTS-wphui1.0/entry/src/main/ets/pages/components/ManPage.ets,40,aboutToAppear,组件即将显示时触发的生命周期函数
input/app/ArkTS-wphui1.0/entry/src/main/ets/pages/components/ManPage.ets,44,build,ArkUI 组件的 UI 构建入口函数
input/app/ArkTS-wphui1.0/entry/src/main/ets/pages/components/SportPage.ets,10,build,ArkUI 组件的 UI 构建入口函数
input/app/ArkTS-wphui1.0/entry/src/main/ets/pages/components/SportPage.ets,17,build,ArkUI 组件的 UI 构建入口函数
input/app/ArkTS-wphui1.0/entry/src/main/ets/pages/components/WomanPage.ets,50,build,ArkUI 组件的 UI 构建入口函数
input/app/ArkTS-wphui1.0/entry/src/main/ets/pages/components/WomanPage.ets,83,build,ArkUI 组件的 UI 构建入口函数
input/app/ArkTS-wphui1.0/entry/src/main/ets/entryability/EntryAbility.ts,6,onCreate,UIAbility 创建时触发的生命周期函数
input/app/ArkTS-wphui1.0/entry/src/main/ets/entryability/EntryAbility.ts,10,onDestroy,UIAbility 销毁时触发的生命周期函数
input/app/ArkTS-wphui1.0/entry/src/main/ets/entryability/EntryAbility.ts,14,onWindowStageCreate,WindowStage 创建时触发的生命周期函数
input/app/ArkTS-wphui1.0/entry/src/main/ets/entryability/EntryAbility.ts,27,onWindowStageDestroy,WindowStage 销毁时触发的生命周期函数
input/app/ArkTS-wphui1.0/entry/src/main/ets/entryability/EntryAbility.ts,32,onForeground,UIAbility 切换到前台时触发的生命周期函数
input/app/ArkTS-wphui1.0/entry/src/main/ets/entryability/EntryAbility.ts,37,onBackground,UIAbility 切换到后台时触发的生命周期函数
