App源码文件路径,行号,函数名称,描述
input/app/HarmoneyOpenEye/entry/src/main/ets/views/CommonDialog.ets,27,aboutToAppear,组件即将显示时触发的生命周期函数
input/app/HarmoneyOpenEye/entry/src/main/ets/views/CommonDialog.ets,31,build,ArkUI 组件的 UI 构建入口函数
input/app/HarmoneyOpenEye/entry/src/main/ets/views/CommonImage.ets,5,build,ArkUI 组件的 UI 构建入口函数
input/app/HarmoneyOpenEye/entry/src/main/ets/views/CommonTopBar.ets,17,aboutToAppear,组件即将显示时触发的生命周期函数
input/app/HarmoneyOpenEye/entry/src/main/ets/views/CommonTopBar.ets,50,build,ArkUI 组件的 UI 构建入口函数
input/app/HarmoneyOpenEye/entry/src/main/ets/views/CustomTabLayout.ets,19,aboutToAppear,组件即将显示时触发的生命周期函数
input/app/HarmoneyOpenEye/entry/src/main/ets/views/CustomTabLayout.ets,23,aboutToDisappear,组件即将消失时触发的生命周期函数
input/app/HarmoneyOpenEye/entry/src/main/ets/views/CustomTabLayout.ets,27,build,ArkUI 组件的 UI 构建入口函数
input/app/HarmoneyOpenEye/entry/src/main/ets/views/LoadingDialog.ets,13,aboutToAppear,组件即将显示时触发的生命周期函数
input/app/HarmoneyOpenEye/entry/src/main/ets/views/LoadingDialog.ets,18,build,ArkUI 组件的 UI 构建入口函数
input/app/HarmoneyOpenEye/entry/src/main/ets/views/RefreshFooter.ets,8,build,ArkUI 组件的 UI 构建入口函数
input/app/HarmoneyOpenEye/entry/src/main/ets/views/StateComponent.ets,14,build,ArkUI 组件的 UI 构建入口函数
input/app/HarmoneyOpenEye/entry/src/main/ets/views/VideoComponent.ets,19,build,ArkUI 组件的 UI 构建入口函数
input/app/HarmoneyOpenEye/entry/src/main/ets/skelton/CommonSkeleton.ets,8,aboutToAppear,组件即将显示时触发的生命周期函数
input/app/HarmoneyOpenEye/entry/src/main/ets/skelton/CommonSkeleton.ets,14,build,ArkUI 组件的 UI 构建入口函数
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/MainPage.ets,30,aboutToAppear,组件即将显示时触发的生命周期函数
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/MainPage.ets,43,aboutToDisappear,组件即将消失时触发的生命周期函数
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/MainPage.ets,48,build,ArkUI 组件的 UI 构建入口函数
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/MainPage.ets,85,onPageShow,页面显示时触发的生命周期函数
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/MainPage.ets,89,onPageHide,页面隐藏时触发的生命周期函数
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/SplashPage.ets,7,aboutToAppear,组件即将显示时触发的生命周期函数
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/SplashPage.ets,13,build,ArkUI 组件的 UI 构建入口函数
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/topicDetail/TopicDetailPage.ets,23,aboutToAppear,组件即将显示时触发的生命周期函数
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/topicDetail/TopicDetailPage.ets,36,build,ArkUI 组件的 UI 构建入口函数
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/test/TestHorizontalPage.ets,17,aboutToAppear,组件即将显示时触发的生命周期函数
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/test/TestHorizontalPage.ets,24,build,ArkUI 组件的 UI 构建入口函数
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/test/TestHorizontalPage2.ets,15,aboutToAppear,组件即将显示时触发的生命周期函数
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/test/TestHorizontalPage2.ets,21,build,ArkUI 组件的 UI 构建入口函数
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/test/TestPage.ets,15,aboutToAppear,组件即将显示时触发的生命周期函数
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/test/TestPage.ets,28,build,ArkUI 组件的 UI 构建入口函数
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/mine/MinePage.ets,19,aboutToAppear,组件即将显示时触发的生命周期函数
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/mine/MinePage.ets,23,aboutToDisappear,组件即将消失时触发的生命周期函数
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/mine/MinePage.ets,27,build,ArkUI 组件的 UI 构建入口函数
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/hot/CoordinatePage.ets,22,aboutToAppear,组件即将显示时触发的生命周期函数
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/hot/CoordinatePage.ets,29,build,ArkUI 组件的 UI 构建入口函数
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/hot/HotPage.ets,14,build,ArkUI 组件的 UI 构建入口函数
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/hot/HotPage.ets,35,onPageShow,页面显示时触发的生命周期函数
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/hot/HotPage.ets,39,onPageHide,页面隐藏时触发的生命周期函数
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/hot/rank/RankPage.ets,21,aboutToAppear,组件即将显示时触发的生命周期函数
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/hot/rank/RankPage.ets,59,build,ArkUI 组件的 UI 构建入口函数
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/home/HomePage.ets,24,aboutToAppear,组件即将显示时触发的生命周期函数
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/home/HomePage.ets,48,build,ArkUI 组件的 UI 构建入口函数
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/home/component/HomeListItemComponent.ets,9,build,ArkUI 组件的 UI 构建入口函数
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/find/FindPage.ets,17,aboutToAppear,组件即将显示时触发的生命周期函数
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/find/FindPage.ets,29,build,ArkUI 组件的 UI 构建入口函数
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/find/topic/TopicPage.ets,21,aboutToAppear,组件即将显示时触发的生命周期函数
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/find/topic/TopicPage.ets,66,build,ArkUI 组件的 UI 构建入口函数
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/find/focus/FocusPage.ets,19,aboutToAppear,组件即将显示时触发的生命周期函数
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/find/focus/FocusPage.ets,61,build,ArkUI 组件的 UI 构建入口函数
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/find/focus/component/FocusItemComponent.ets,9,build,ArkUI 组件的 UI 构建入口函数
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/find/category/CategoryPage.ets,20,aboutToAppear,组件即将显示时触发的生命周期函数
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/find/category/CategoryPage.ets,58,build,ArkUI 组件的 UI 构建入口函数
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/container/ContainerPage.ets,15,aboutToAppear,组件即将显示时触发的生命周期函数
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/container/ContainerPage.ets,20,build,ArkUI 组件的 UI 构建入口函数
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/commonDetail/DetailPage.ets,16,aboutToAppear,组件即将显示时触发的生命周期函数
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/commonDetail/DetailPage.ets,21,build,ArkUI 组件的 UI 构建入口函数
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/commonDetail/component/VideoBottomComponent.ets,14,aboutToAppear,组件即将显示时触发的生命周期函数
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/commonDetail/component/VideoBottomComponent.ets,26,build,ArkUI 组件的 UI 构建入口函数
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/categoryDetail/CategoryDetailPage.ets,26,aboutToAppear,组件即将显示时触发的生命周期函数
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/categoryDetail/CategoryDetailPage.ets,46,build,ArkUI 组件的 UI 构建入口函数
