App源码文件路径,导入行号,导入代码,调用行号,调用代码,API功能描述
input/app/HarmoneyOpenEye/entry/src/main/ets/views/CommonTopBar.ets,5,import window from '@ohos.window';,23,"window.getLastWindow(context, (error, data) => {",Get the final show window.
input/app/HarmoneyOpenEye/entry/src/main/ets/views/CommonTopBar.ets,4,import router from '@ohos.router',83,router.back();,Returns to the previous page or a specified page.
input/app/HarmoneyOpenEye/entry/src/main/ets/utils/DialogUtils.ets,1,import emitter from '@ohos.events.emitter',10,"emitter.emit(loadingEvent, LoadingDialogEvent(true, tips))",Emits the specified event.
input/app/HarmoneyOpenEye/entry/src/main/ets/utils/DialogUtils.ets,1,import emitter from '@ohos.events.emitter',17,"emitter.emit(loadingEvent, LoadingDialogEvent(false, """"))",Emits the specified event.
input/app/HarmoneyOpenEye/entry/src/main/ets/utils/LogUtils.ts,1,import hilog from '@ohos.hilog',12,"hilog.debug(domain, prefix, format, args);",Outputs debug-level logs.
input/app/HarmoneyOpenEye/entry/src/main/ets/utils/LogUtils.ts,1,import hilog from '@ohos.hilog',16,"hilog.info(domain, prefix, format, args);",Outputs info-level logs.
input/app/HarmoneyOpenEye/entry/src/main/ets/utils/LogUtils.ts,1,import hilog from '@ohos.hilog',20,"hilog.warn(domain, prefix, format, args);",Outputs warning-level logs.
input/app/HarmoneyOpenEye/entry/src/main/ets/utils/LogUtils.ts,1,import hilog from '@ohos.hilog',24,"hilog.error(domain, prefix, format, args);",Outputs error-level logs.
input/app/HarmoneyOpenEye/entry/src/main/ets/utils/LogUtils.ts,1,import hilog from '@ohos.hilog',28,"hilog.fatal(domain, prefix, format, args);",Outputs fatal-level logs.
input/app/HarmoneyOpenEye/entry/src/main/ets/utils/LogUtils.ts,1,import hilog from '@ohos.hilog',32,"hilog.isLoggable(domain, prefix, level);","Checks whether logs of the specified tag, and level can be printed."
input/app/HarmoneyOpenEye/entry/src/main/ets/utils/StorageUtils.ets,1,import dataPreferences from '@ohos.data.preferences',22,"return await dataPreferences.getPreferences(this.context, preferenceName)","Obtains a  instance matching a specified preferences file name.
<p>The  instance loads all data of the preferences file and
resides in the memory. You can use removePreferencesFromCache to remove the instance from the memory."
input/app/HarmoneyOpenEye/entry/src/main/ets/utils/ToastUtils.ets,1,import promptAction from '@ohos.promptAction',6,promptAction.showToast({,Displays the notification text.
input/app/HarmoneyOpenEye/entry/src/main/ets/route/Router.ets,1,import router from '@ohos.router',6,"router.pushUrl({ url: url, params: params }, router.RouterMode.Standard, (err) => {",Navigates to a specified page in the application based on the page URL and parameters.
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/MainPage.ets,10,import emitter from '@ohos.events.emitter',31,"emitter.on(loadingEvent, (event) => {",Subscribes to an event in persistent manner and executes a callback after the event is received.
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/MainPage.ets,10,import emitter from '@ohos.events.emitter',45,emitter.off(EventKeys.LOADING_DIALOG_EVENT),Unsubscribes from all events with the specified event ID.
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/SplashPage.ets,1,import router from '@ohos.router',9,router.replaceUrl({ url: RoutePath.MainPage }),Replaces the current page with another one in the application. The current page is destroyed after replacement.
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/topicDetail/TopicDetailPage.ets,1,import router from '@ohos.router',24,"TopicDetailViewModel.topicId = router.getParams()[""id""]",Obtains information about the current page params.
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/container/ContainerPage.ets,1,import router from '@ohos.router',16,"this.containerType = router.getParams()[""containerType""]",Obtains information about the current page params.
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/commonDetail/DetailPage.ets,1,import router from '@ohos.router',17,this.relationId = router.getParams()['id'],Obtains information about the current page params.
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/commonDetail/DetailPage.ets,1,import router from '@ohos.router',18,this.playUrl = router.getParams()['playUrl'],Obtains information about the current page params.
input/app/HarmoneyOpenEye/entry/src/main/ets/pages/categoryDetail/CategoryDetailPage.ets,1,import router from '@ohos.router',28,"categoryDetailViewModel.id = router.getParams()[""id""]",Obtains information about the current page params.
