App源码文件路径,导入行号,导入代码,调用行号,调用代码,API功能描述
input/app/Health_Service_Kit/entry/src/main/ets/pages/MainIndex.ets,1,import { router } from '@kit.ArkUI';,12,router.pushUrl({,Navigates to a specified page in the application based on the page URL and parameters.
input/app/Health_Service_Kit/entry/src/main/ets/pages/MainIndex.ets,1,import { router } from '@kit.ArkUI';,17,router.pushUrl({,Navigates to a specified page in the application based on the page URL and parameters.
input/app/Health_Service_Kit/entry/src/main/ets/entryability/EntryAbility.ets,3,import { hilog } from '@kit.PerformanceAnalysisKit';,8,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onCreate');",Outputs info-level logs.
input/app/Health_Service_Kit/entry/src/main/ets/entryability/EntryAbility.ets,4,import { healthStore } from '@kit.HealthServiceKit';,9,healthStore.init(this.context);,未提取到SDK注释；请在 input/csv/sdk_api_description_override.csv 补充该 API 描述（api=@kit.HealthServiceKit.healthStore.init）
input/app/Health_Service_Kit/entry/src/main/ets/entryability/EntryAbility.ets,3,import { hilog } from '@kit.PerformanceAnalysisKit';,13,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onDestroy');",Outputs info-level logs.
input/app/Health_Service_Kit/entry/src/main/ets/entryability/EntryAbility.ets,3,import { hilog } from '@kit.PerformanceAnalysisKit';,18,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onWindowStageCreate');",Outputs info-level logs.
input/app/Health_Service_Kit/entry/src/main/ets/entryability/EntryAbility.ets,3,import { hilog } from '@kit.PerformanceAnalysisKit';,22,"hilog.error(0x0000, 'testTag', 'Failed to load the content. Cause: %{public}s', JSON.stringify(err) ?? '');",Outputs error-level logs.
input/app/Health_Service_Kit/entry/src/main/ets/entryability/EntryAbility.ets,3,import { hilog } from '@kit.PerformanceAnalysisKit';,25,"hilog.info(0x0000, 'testTag', 'Succeeded in loading the content. Data: %{public}s', JSON.stringify(data) ?? '');",Outputs info-level logs.
input/app/Health_Service_Kit/entry/src/main/ets/entryability/EntryAbility.ets,3,import { hilog } from '@kit.PerformanceAnalysisKit';,31,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onWindowStageDestroy');",Outputs info-level logs.
input/app/Health_Service_Kit/entry/src/main/ets/entryability/EntryAbility.ets,3,import { hilog } from '@kit.PerformanceAnalysisKit';,36,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onForeground');",Outputs info-level logs.
input/app/Health_Service_Kit/entry/src/main/ets/entryability/EntryAbility.ets,3,import { hilog } from '@kit.PerformanceAnalysisKit';,41,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onBackground');",Outputs info-level logs.
input/app/Health_Service_Kit/entry/src/main/ets/common/bean/AuthManagement.ets,6,import { healthStore } from '@kit.HealthServiceKit';,18,"await healthStore.requestAuthorizations(context, authorizationParameter);",未提取到SDK注释；请在 input/csv/sdk_api_description_override.csv 补充该 API 描述（api=@kit.HealthServiceKit.healthStore.requestAuthorizations）
input/app/Health_Service_Kit/entry/src/main/ets/common/bean/AuthManagement.ets,5,import { hilog } from '@kit.PerformanceAnalysisKit';,20,"hilog.info(0x0000, 'testTag', 'Succeeded in requesting authorization.');",Outputs info-level logs.
input/app/Health_Service_Kit/entry/src/main/ets/common/bean/AuthManagement.ets,5,import { hilog } from '@kit.PerformanceAnalysisKit';,23,"hilog.info(0x0000, 'testTag', `grantedWriteDataType is : ${dataType.name}`);",Outputs info-level logs.
input/app/Health_Service_Kit/entry/src/main/ets/common/bean/AuthManagement.ets,5,import { hilog } from '@kit.PerformanceAnalysisKit';,27,"hilog.info(0x0000, 'testTag', `grantedReadDataTypes is : ${dataType.name}`);",Outputs info-level logs.
input/app/Health_Service_Kit/entry/src/main/ets/common/bean/AuthManagement.ets,5,import { hilog } from '@kit.PerformanceAnalysisKit';,32,"hilog.error(0x0000, 'testTag', `Failed to request authorization. Code: ${err.code}, message: ${err.message}`);",Outputs error-level logs.
input/app/Health_Service_Kit/entry/src/main/ets/common/bean/ExerciseSequenceManagement.ets,7,import { healthStore } from '@kit.HealthServiceKit';,78,await healthStore.saveData(runningSequence);,未提取到SDK注释；请在 input/csv/sdk_api_description_override.csv 补充该 API 描述（api=@kit.HealthServiceKit.healthStore.saveData）
input/app/Health_Service_Kit/entry/src/main/ets/common/bean/ExerciseSequenceManagement.ets,5,import { hilog } from '@kit.PerformanceAnalysisKit';,79,"hilog.info(0x0000, 'testTag', 'Succeeded in saving data.');",Outputs info-level logs.
input/app/Health_Service_Kit/entry/src/main/ets/common/bean/ExerciseSequenceManagement.ets,5,import { hilog } from '@kit.PerformanceAnalysisKit';,82,"hilog.error(0x0000, 'testTag', `Failed to save data. Code: ${err.code}, message: ${err.message}`);",Outputs error-level logs.
input/app/Health_Service_Kit/entry/src/main/ets/common/bean/ExerciseSequenceManagement.ets,7,import { healthStore } from '@kit.HealthServiceKit';,102,await healthStore.readData<healthStore.exerciseSequenceHelper.running.Model>(sequenceReadRequest);,未提取到SDK注释；请在 input/csv/sdk_api_description_override.csv 补充该 API 描述（api=@kit.HealthServiceKit.healthStore.readData）
input/app/Health_Service_Kit/entry/src/main/ets/common/bean/ExerciseSequenceManagement.ets,5,import { hilog } from '@kit.PerformanceAnalysisKit';,103,"hilog.info(0x0000, 'testTag', 'Succeeded in reading data.');",Outputs info-level logs.
input/app/Health_Service_Kit/entry/src/main/ets/common/bean/ExerciseSequenceManagement.ets,5,import { hilog } from '@kit.PerformanceAnalysisKit';,106,"hilog.info(0x0000, 'testTag', `the start time is ${runningSequence.startTime}.`);",Outputs info-level logs.
input/app/Health_Service_Kit/entry/src/main/ets/common/bean/ExerciseSequenceManagement.ets,5,import { hilog } from '@kit.PerformanceAnalysisKit';,107,"hilog.info(0x0000, 'testTag', `the end time is ${runningSequence.endTime}.`);",Outputs info-level logs.
input/app/Health_Service_Kit/entry/src/main/ets/common/bean/ExerciseSequenceManagement.ets,5,import { hilog } from '@kit.PerformanceAnalysisKit';,112,"hilog.info(0x0000, 'testTag', `the summaries of ${key} field ${fieldName} is ${runningSequence.summaries[key][fieldName]}.`);",Outputs info-level logs.
input/app/Health_Service_Kit/entry/src/main/ets/common/bean/ExerciseSequenceManagement.ets,5,import { hilog } from '@kit.PerformanceAnalysisKit';,118,"hilog.error(0x0000, 'testTag', `Failed to read data. Code: ${err.code}, message: ${err.message}`);",Outputs error-level logs.
input/app/Health_Service_Kit/entry/src/main/ets/common/bean/ExerciseSequenceManagement.ets,7,import { healthStore } from '@kit.HealthServiceKit';,130,await healthStore.deleteData(exerciseSequenceDeleteRequest);,未提取到SDK注释；请在 input/csv/sdk_api_description_override.csv 补充该 API 描述（api=@kit.HealthServiceKit.healthStore.deleteData）
input/app/Health_Service_Kit/entry/src/main/ets/common/bean/ExerciseSequenceManagement.ets,5,import { hilog } from '@kit.PerformanceAnalysisKit';,131,"hilog.info(0x0000, 'testTag', 'Succeeded in deleting data.');",Outputs info-level logs.
input/app/Health_Service_Kit/entry/src/main/ets/common/bean/ExerciseSequenceManagement.ets,5,import { hilog } from '@kit.PerformanceAnalysisKit';,134,"hilog.error(0x0000, 'testTag', `Failed to delete data. Code: ${err.code}, message: ${err.message}`);",Outputs error-level logs.
input/app/Health_Service_Kit/entry/src/main/ets/common/bean/ExerciseSequenceManagement.ets,7,import { healthStore } from '@kit.HealthServiceKit';,173,await healthStore.deleteData(runningSequence);,未提取到SDK注释；请在 input/csv/sdk_api_description_override.csv 补充该 API 描述（api=@kit.HealthServiceKit.healthStore.deleteData）
input/app/Health_Service_Kit/entry/src/main/ets/common/bean/ExerciseSequenceManagement.ets,5,import { hilog } from '@kit.PerformanceAnalysisKit';,174,"hilog.info(0x0000, 'testTag', 'Succeeded in deleting data.');",Outputs info-level logs.
input/app/Health_Service_Kit/entry/src/main/ets/common/bean/ExerciseSequenceManagement.ets,5,import { hilog } from '@kit.PerformanceAnalysisKit';,177,"hilog.error(0x0000, 'testTag', `Failed to delete data. Code: ${err.code}, message: ${err.message}`);",Outputs error-level logs.
input/app/Health_Service_Kit/entry/src/main/ets/common/bean/ExerciseSequenceManagement.ets,7,import { healthStore } from '@kit.HealthServiceKit';,187,let res: healthStore.DataSource[] = await healthStore.readDataSource(request);,未提取到SDK注释；请在 input/csv/sdk_api_description_override.csv 补充该 API 描述（api=@kit.HealthServiceKit.healthStore.readDataSource）
input/app/Health_Service_Kit/entry/src/main/ets/common/bean/ExerciseSequenceManagement.ets,5,import { hilog } from '@kit.PerformanceAnalysisKit';,190,"hilog.info(0x0000, 'testTag', `Succeeded in reading dataSource, the dataSourceId is ${ExerciseSequenceManagement.dataSourceId}.`);",Outputs info-level logs.
input/app/Health_Service_Kit/entry/src/main/ets/common/bean/ExerciseSequenceManagement.ets,7,import { healthStore } from '@kit.HealthServiceKit';,210,let res: string = await healthStore.insertDataSource(dataSource);,未提取到SDK注释；请在 input/csv/sdk_api_description_override.csv 补充该 API 描述（api=@kit.HealthServiceKit.healthStore.insertDataSource）
input/app/Health_Service_Kit/entry/src/main/ets/common/bean/ExerciseSequenceManagement.ets,5,import { hilog } from '@kit.PerformanceAnalysisKit';,212,"hilog.info(0x0000, 'testTag', `Succeeded in inserting dataSource, the dataSourceId is ${res}.`);",Outputs info-level logs.
input/app/Health_Service_Kit/entry/src/main/ets/common/bean/ExerciseSequenceManagement.ets,5,import { hilog } from '@kit.PerformanceAnalysisKit';,216,"hilog.error(0x0000, 'testTag', `Failed to initDataSourceId. Code: ${err.code}, message: ${err.message}`);",Outputs error-level logs.
