App源码文件路径,导入行号,导入代码,调用行号,调用代码,API功能描述
input/app/IntentsKit-codelab-Clientdemo-ArkTS/entry/src/main/ets/utils/FileReader.ets,3,import { fileIo } from '@kit.CoreFileKit';,16,return await fileIo.readText(filePath).then(str => {,未提取到SDK注释；请在 input/csv/sdk_api_description_override.csv 补充该 API 描述（api=@ohos.file.fs.readText）
input/app/IntentsKit-codelab-Clientdemo-ArkTS/entry/src/main/ets/utils/FileReader.ets,4,import { buffer } from '@kit.ArkTS';,25,return buffer.from((await moduleContext.resourceManager.getRawFileContent(filePath)).buffer)?.toString();,Allocates a new Buffer using an array of bytes in the range 0 – 255. Array entries outside that range will be truncated to fit into it.
input/app/IntentsKit-codelab-Clientdemo-ArkTS/entry/src/main/ets/utils/FileReader.ets,4,import { buffer } from '@kit.ArkTS';,25,return buffer.from((await moduleContext.resourceManager.getRawFileContent(filePath)).buffer)?.toString();,Decodes buf to a string according to the specified character encoding in encoding
input/app/IntentsKit-codelab-Clientdemo-ArkTS/entry/src/main/ets/utils/InsightIntentSharer.ets,6,import { insightIntent } from '@kit.IntentsKit';,38,"return await insightIntent.shareIntent(context, insightIntents).then(() => {",未提取到SDK注释；请在 input/csv/sdk_api_description_override.csv 补充该 API 描述（api=@kit.IntentsKit.insightIntent.shareIntent）
input/app/IntentsKit-codelab-Clientdemo-ArkTS/entry/src/main/ets/utils/InsightIntentSharer.ets,6,import { insightIntent } from '@kit.IntentsKit';,64,"return await insightIntent.deleteIntent(context, deleteIntent.intentName, deleteIntent.identifiers).then(() => {",未提取到SDK注释；请在 input/csv/sdk_api_description_override.csv 补充该 API 描述（api=@kit.IntentsKit.insightIntent.deleteIntent）
input/app/IntentsKit-codelab-Clientdemo-ArkTS/entry/src/main/ets/utils/InsightIntentSharer.ets,6,import { insightIntent } from '@kit.IntentsKit';,90,"return await insightIntent.deleteEntity(context, deleteEntity.entityName, deleteEntity.entityIds).then(() => {",未提取到SDK注释；请在 input/csv/sdk_api_description_override.csv 补充该 API 描述（api=@kit.IntentsKit.insightIntent.deleteEntity）
input/app/IntentsKit-codelab-Clientdemo-ArkTS/entry/src/main/ets/utils/InsightIntentSharer.ets,6,import { insightIntent } from '@kit.IntentsKit';,102,"return `SID: ${await insightIntent.getSid(context, false)}`;",未提取到SDK注释；请在 input/csv/sdk_api_description_override.csv 补充该 API 描述（api=@kit.IntentsKit.insightIntent.getSid）
input/app/IntentsKit-codelab-Clientdemo-ArkTS/entry/src/main/ets/utils/InsightIntentSharer.ets,6,import { insightIntent } from '@kit.IntentsKit';,111,"return `SID(renew): ${await insightIntent.getSid(context, true)}`;",未提取到SDK注释；请在 input/csv/sdk_api_description_override.csv 补充该 API 描述（api=@kit.IntentsKit.insightIntent.getSid）
input/app/IntentsKit-codelab-Clientdemo-ArkTS/entry/src/main/ets/utils/Logger.ets,1,import { hilog } from '@kit.PerformanceAnalysisKit';,8,"hilog.debug(Logger.DOMAIN, Logger.TAG, `${Logger.DOMAIN} ${logTag}: ${messageFormat}`, args);",Outputs debug-level logs.
input/app/IntentsKit-codelab-Clientdemo-ArkTS/entry/src/main/ets/utils/Logger.ets,1,import { hilog } from '@kit.PerformanceAnalysisKit';,12,"hilog.info(Logger.DOMAIN, Logger.TAG, `${Logger.DOMAIN} ${logTag}: ${messageFormat}`, args);",Outputs info-level logs.
input/app/IntentsKit-codelab-Clientdemo-ArkTS/entry/src/main/ets/utils/Logger.ets,1,import { hilog } from '@kit.PerformanceAnalysisKit';,16,"hilog.warn(Logger.DOMAIN, Logger.TAG, `${Logger.DOMAIN} ${logTag}: ${messageFormat}`, args);",Outputs warning-level logs.
input/app/IntentsKit-codelab-Clientdemo-ArkTS/entry/src/main/ets/utils/Logger.ets,1,import { hilog } from '@kit.PerformanceAnalysisKit';,20,"hilog.error(Logger.DOMAIN, Logger.TAG, `${Logger.DOMAIN} ${logTag}: ${messageFormat}`, args);",Outputs error-level logs.
input/app/IntentsKit-codelab-Clientdemo-ArkTS/entry/src/main/ets/utils/Logger.ets,1,import { hilog } from '@kit.PerformanceAnalysisKit';,24,"hilog.fatal(Logger.DOMAIN, Logger.TAG, `${Logger.DOMAIN} ${logTag}: ${messageFormat}`, args);",Outputs fatal-level logs.
