App源码文件路径,导入行号,导入代码,调用行号,调用代码,API功能描述
input/app/NewsData/entry/src/main/ets/view/NewsList.ets,16,import { promptAction } from '@kit.ArkUI';,53,promptAction.showToast({,Displays the notification text.
input/app/NewsData/entry/src/main/ets/entryability/EntryAbility.ets,17,import { hilog } from '@kit.PerformanceAnalysisKit';,22,"hilog.isLoggable(0x0000, 'testTag', hilog.LogLevel.INFO);","Checks whether logs of the specified tag, and level can be printed."
input/app/NewsData/entry/src/main/ets/entryability/EntryAbility.ets,17,import { hilog } from '@kit.PerformanceAnalysisKit';,23,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onCreate');",Outputs info-level logs.
input/app/NewsData/entry/src/main/ets/entryability/EntryAbility.ets,17,import { hilog } from '@kit.PerformanceAnalysisKit';,24,"hilog.info(0x0000, 'testTag', '%{public}s', 'want param:' + JSON.stringify(want) ?? '');",Outputs info-level logs.
input/app/NewsData/entry/src/main/ets/entryability/EntryAbility.ets,17,import { hilog } from '@kit.PerformanceAnalysisKit';,25,"hilog.info(0x0000, 'testTag', '%{public}s', 'launchParam:' + JSON.stringify(launchParam) ?? '');",Outputs info-level logs.
input/app/NewsData/entry/src/main/ets/entryability/EntryAbility.ets,17,import { hilog } from '@kit.PerformanceAnalysisKit';,29,"hilog.isLoggable(0x0000, 'testTag', hilog.LogLevel.INFO);","Checks whether logs of the specified tag, and level can be printed."
input/app/NewsData/entry/src/main/ets/entryability/EntryAbility.ets,17,import { hilog } from '@kit.PerformanceAnalysisKit';,30,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onDestroy');",Outputs info-level logs.
input/app/NewsData/entry/src/main/ets/entryability/EntryAbility.ets,17,import { hilog } from '@kit.PerformanceAnalysisKit';,35,"hilog.isLoggable(0x0000, 'testTag', hilog.LogLevel.INFO);","Checks whether logs of the specified tag, and level can be printed."
input/app/NewsData/entry/src/main/ets/entryability/EntryAbility.ets,17,import { hilog } from '@kit.PerformanceAnalysisKit';,36,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onWindowStageCreate');",Outputs info-level logs.
input/app/NewsData/entry/src/main/ets/entryability/EntryAbility.ets,17,import { hilog } from '@kit.PerformanceAnalysisKit';,40,"hilog.isLoggable(0x0000, 'testTag', hilog.LogLevel.ERROR);","Checks whether logs of the specified tag, and level can be printed."
input/app/NewsData/entry/src/main/ets/entryability/EntryAbility.ets,17,import { hilog } from '@kit.PerformanceAnalysisKit';,41,"hilog.error(0x0000, 'testTag', 'Failed to load the content. Cause: %{public}s', JSON.stringify(err) ?? '');",Outputs error-level logs.
input/app/NewsData/entry/src/main/ets/entryability/EntryAbility.ets,17,import { hilog } from '@kit.PerformanceAnalysisKit';,44,"hilog.isLoggable(0x0000, 'testTag', hilog.LogLevel.INFO);","Checks whether logs of the specified tag, and level can be printed."
input/app/NewsData/entry/src/main/ets/entryability/EntryAbility.ets,17,import { hilog } from '@kit.PerformanceAnalysisKit';,45,"hilog.info(0x0000, 'testTag', 'Succeeded in loading the content. Data: %{public}s', JSON.stringify(data) ?? '');",Outputs info-level logs.
input/app/NewsData/entry/src/main/ets/entryability/EntryAbility.ets,17,import { hilog } from '@kit.PerformanceAnalysisKit';,51,"hilog.isLoggable(0x0000, 'testTag', hilog.LogLevel.INFO);","Checks whether logs of the specified tag, and level can be printed."
input/app/NewsData/entry/src/main/ets/entryability/EntryAbility.ets,17,import { hilog } from '@kit.PerformanceAnalysisKit';,52,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onWindowStageDestroy');",Outputs info-level logs.
input/app/NewsData/entry/src/main/ets/entryability/EntryAbility.ets,17,import { hilog } from '@kit.PerformanceAnalysisKit';,57,"hilog.isLoggable(0x0000, 'testTag', hilog.LogLevel.INFO);","Checks whether logs of the specified tag, and level can be printed."
input/app/NewsData/entry/src/main/ets/entryability/EntryAbility.ets,17,import { hilog } from '@kit.PerformanceAnalysisKit';,58,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onForeground');",Outputs info-level logs.
input/app/NewsData/entry/src/main/ets/entryability/EntryAbility.ets,17,import { hilog } from '@kit.PerformanceAnalysisKit';,63,"hilog.isLoggable(0x0000, 'testTag', hilog.LogLevel.INFO);","Checks whether logs of the specified tag, and level can be printed."
input/app/NewsData/entry/src/main/ets/entryability/EntryAbility.ets,17,import { hilog } from '@kit.PerformanceAnalysisKit';,64,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onBackground');",Outputs info-level logs.
input/app/NewsData/entry/src/main/ets/common/utils/HttpUtil.ets,16,import { http } from '@kit.NetworkKit';,28,let httpRequest = http.createHttp();,Creates an HTTP request task.
input/app/NewsData/entry/src/main/ets/common/utils/HttpUtil.ets,16,import { http } from '@kit.NetworkKit';,29,"let responseResult = httpRequest.request(url, {",Initiates an HTTP request to a given URL.
input/app/NewsData/entry/src/main/ets/common/utils/Logger.ets,16,import { hilog } from '@kit.PerformanceAnalysisKit';,40,"hilog.debug(this.domain, this.prefix, this.format, args);",Outputs debug-level logs.
input/app/NewsData/entry/src/main/ets/common/utils/Logger.ets,16,import { hilog } from '@kit.PerformanceAnalysisKit';,44,"hilog.info(this.domain, this.prefix, this.format, args);",Outputs info-level logs.
input/app/NewsData/entry/src/main/ets/common/utils/Logger.ets,16,import { hilog } from '@kit.PerformanceAnalysisKit';,48,"hilog.warn(this.domain, this.prefix, this.format, args);",Outputs warning-level logs.
input/app/NewsData/entry/src/main/ets/common/utils/Logger.ets,16,import { hilog } from '@kit.PerformanceAnalysisKit';,52,"hilog.error(this.domain, this.prefix, this.format, args);",Outputs error-level logs.
input/app/NewsData/entry/src/main/ets/common/utils/PullDownRefresh.ets,16,import { promptAction } from '@kit.ArkUI';,101,promptAction.showToast({ message: err });,Displays the notification text.
input/app/NewsData/entry/src/main/ets/common/utils/PullUpLoadMore.ets,16,import { promptAction } from '@kit.ArkUI';,53,promptAction.showToast({ message: err });,Displays the notification text.
