App源码文件路径,导入行号,导入代码,调用行号,调用代码,API功能描述
input/app/PaymentKit-CodelabDemo/PaymentKit-Codelab-Clientdemo-ArkTS/entry/src/main/ets/pages/Index.ets,4,import { paymentService } from '@kit.PaymentKit';,16,"paymentService.requestPayment(this.context, orderStr)",支付和签约 / 支付功能(Promise方式); 数据: 支付记录 / 支付方式
input/app/PaymentKit-CodelabDemo/PaymentKit-Codelab-Clientdemo-ArkTS/entry/src/main/ets/pages/Index.ets,4,import { paymentService } from '@kit.PaymentKit';,30,"paymentService.requestPayment(this.context, orderStr, (error: BusinessError) => {",支付和签约 / 支付功能(Promise方式); 数据: 支付记录 / 支付方式
input/app/PaymentKit-CodelabDemo/PaymentKit-Codelab-Clientdemo-ArkTS/entry/src/main/ets/pages/Index.ets,4,import { paymentService } from '@kit.PaymentKit';,44,"paymentService.requestContract(this.context, contractStr)",数据: 支付记录 / 支付方式
input/app/PaymentKit-CodelabDemo/PaymentKit-Codelab-Clientdemo-ArkTS/entry/src/main/ets/pages/Index.ets,4,import { paymentService } from '@kit.PaymentKit';,58,"paymentService.requestContract(this.context, contractStr, (error: BusinessError) => {",数据: 支付记录 / 支付方式
input/app/PaymentKit-CodelabDemo/PaymentKit-Codelab-Clientdemo-ArkTS/entry/src/main/ets/entryability/EntryAbility.ets,1,import { hilog } from '@kit.PerformanceAnalysisKit';,7,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onCreate');",Outputs info-level logs.
input/app/PaymentKit-CodelabDemo/PaymentKit-Codelab-Clientdemo-ArkTS/entry/src/main/ets/entryability/EntryAbility.ets,1,import { hilog } from '@kit.PerformanceAnalysisKit';,11,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onDestroy');",Outputs info-level logs.
input/app/PaymentKit-CodelabDemo/PaymentKit-Codelab-Clientdemo-ArkTS/entry/src/main/ets/entryability/EntryAbility.ets,1,import { hilog } from '@kit.PerformanceAnalysisKit';,16,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onWindowStageCreate');",Outputs info-level logs.
input/app/PaymentKit-CodelabDemo/PaymentKit-Codelab-Clientdemo-ArkTS/entry/src/main/ets/entryability/EntryAbility.ets,1,import { hilog } from '@kit.PerformanceAnalysisKit';,20,"hilog.error(0x0000, 'testTag', 'Failed to load the content. Cause: %{public}s', JSON.stringify(err) ?? '');",Outputs error-level logs.
input/app/PaymentKit-CodelabDemo/PaymentKit-Codelab-Clientdemo-ArkTS/entry/src/main/ets/entryability/EntryAbility.ets,1,import { hilog } from '@kit.PerformanceAnalysisKit';,23,"hilog.info(0x0000, 'testTag', 'Succeeded in loading the content. Data: %{public}s', JSON.stringify(data) ?? '');",Outputs info-level logs.
input/app/PaymentKit-CodelabDemo/PaymentKit-Codelab-Clientdemo-ArkTS/entry/src/main/ets/entryability/EntryAbility.ets,1,import { hilog } from '@kit.PerformanceAnalysisKit';,29,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onWindowStageDestroy');",Outputs info-level logs.
input/app/PaymentKit-CodelabDemo/PaymentKit-Codelab-Clientdemo-ArkTS/entry/src/main/ets/entryability/EntryAbility.ets,1,import { hilog } from '@kit.PerformanceAnalysisKit';,34,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onForeground');",Outputs info-level logs.
input/app/PaymentKit-CodelabDemo/PaymentKit-Codelab-Clientdemo-ArkTS/entry/src/main/ets/entryability/EntryAbility.ets,1,import { hilog } from '@kit.PerformanceAnalysisKit';,39,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onBackground');",Outputs info-level logs.
