App源码文件路径,行号,函数名称,描述
input/app/Pedometer/entry/src/main/ets/view/CompletionStatus.ets,50,build,ArkUI 组件的 UI 构建入口函数
input/app/Pedometer/entry/src/main/ets/view/CurrentSituation.ets,33,build,ArkUI 组件的 UI 构建入口函数
input/app/Pedometer/entry/src/main/ets/view/InputDialog.ets,25,build,ArkUI 组件的 UI 构建入口函数
input/app/Pedometer/entry/src/main/ets/pages/HomePage.ets,93,onPageShow,页面显示时触发的生命周期函数
input/app/Pedometer/entry/src/main/ets/pages/HomePage.ets,98,onPageHide,页面隐藏时触发的生命周期函数
input/app/Pedometer/entry/src/main/ets/pages/HomePage.ets,170,build,ArkUI 组件的 UI 构建入口函数
input/app/Pedometer/entry/src/main/ets/entryability/EntryAbility.ets,24,onCreate,UIAbility 创建时触发的生命周期函数
input/app/Pedometer/entry/src/main/ets/entryability/EntryAbility.ets,29,onDestroy,UIAbility 销毁时触发的生命周期函数
input/app/Pedometer/entry/src/main/ets/entryability/EntryAbility.ets,33,onWindowStageCreate,WindowStage 创建时触发的生命周期函数
input/app/Pedometer/entry/src/main/ets/entryability/EntryAbility.ets,48,onWindowStageDestroy,WindowStage 销毁时触发的生命周期函数
input/app/Pedometer/entry/src/main/ets/entryability/EntryAbility.ets,53,onForeground,UIAbility 切换到前台时触发的生命周期函数
input/app/Pedometer/entry/src/main/ets/entryability/EntryAbility.ets,58,onBackground,UIAbility 切换到后台时触发的生命周期函数
