App源码文件路径,导入行号,导入代码,调用行号,调用代码,API功能描述
input/app/Pedometer/entry/src/main/ets/pages/HomePage.ets,19,import { geoLocationManager } from '@kit.LocationKit';,84,geoLocationManager.getAddressesFromLocation(reverseGeocodeRequest).then(data => {,Obtain address info from location.
input/app/Pedometer/entry/src/main/ets/pages/HomePage.ets,20,import { sensor } from '@kit.SensorServiceKit';,99,sensor.off(sensor.SensorId.PEDOMETER);,Unsubscribe to accelerometer sensor data.
input/app/Pedometer/entry/src/main/ets/pages/HomePage.ets,17,import { abilityAccessCtrl } from '@kit.AbilityKit';,147,let atManager = abilityAccessCtrl.createAtManager();,Obtains the AtManager instance.
input/app/Pedometer/entry/src/main/ets/pages/HomePage.ets,20,import { sensor } from '@kit.SensorServiceKit';,155,"sensor.on(sensor.SensorId.PEDOMETER, this.sensorCallback, { interval: CommonConstants.SENSOR_INTERVAL });",Subscribe to accelerometer sensor data.
input/app/Pedometer/entry/src/main/ets/entryability/EntryAbility.ets,18,import { hilog } from '@kit.PerformanceAnalysisKit';,25,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onCreate');",Outputs info-level logs.
input/app/Pedometer/entry/src/main/ets/entryability/EntryAbility.ets,18,import { hilog } from '@kit.PerformanceAnalysisKit';,30,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onDestroy');",Outputs info-level logs.
input/app/Pedometer/entry/src/main/ets/entryability/EntryAbility.ets,18,import { hilog } from '@kit.PerformanceAnalysisKit';,35,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onWindowStageCreate');",Outputs info-level logs.
input/app/Pedometer/entry/src/main/ets/entryability/EntryAbility.ets,18,import { hilog } from '@kit.PerformanceAnalysisKit';,39,"hilog.error(0x0000, 'testTag', 'Failed to load the content. Cause: %{public}s', JSON.stringify(err) ?? '');",Outputs error-level logs.
input/app/Pedometer/entry/src/main/ets/entryability/EntryAbility.ets,18,import { hilog } from '@kit.PerformanceAnalysisKit';,44,"hilog.info(0x0000, 'testTag', 'Succeeded in loading the content. Data: %{public}s', JSON.stringify(data) ?? '');",Outputs info-level logs.
input/app/Pedometer/entry/src/main/ets/entryability/EntryAbility.ets,18,import { hilog } from '@kit.PerformanceAnalysisKit';,50,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onWindowStageDestroy');",Outputs info-level logs.
input/app/Pedometer/entry/src/main/ets/entryability/EntryAbility.ets,18,import { hilog } from '@kit.PerformanceAnalysisKit';,55,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onForeground');",Outputs info-level logs.
input/app/Pedometer/entry/src/main/ets/entryability/EntryAbility.ets,18,import { hilog } from '@kit.PerformanceAnalysisKit';,60,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onBackground');",Outputs info-level logs.
input/app/Pedometer/entry/src/main/ets/common/utils/BackgroundUtil.ets,17,import { wantAgent } from '@kit.AbilityKit';,42,wantAgent.getWantAgent(wantAgentInfo).then((wantAgentObj) => {,Obtains a WantAgent object.
input/app/Pedometer/entry/src/main/ets/common/utils/BackgroundUtil.ets,18,import { backgroundTaskManager } from '@kit.BackgroundTasksKit';,44,"backgroundTaskManager.startBackgroundRunning(context,","Service ability uses this method to request start running in background.
<p> System will publish a notification related to the this service. </p>"
input/app/Pedometer/entry/src/main/ets/common/utils/BackgroundUtil.ets,18,import { backgroundTaskManager } from '@kit.BackgroundTasksKit';,63,backgroundTaskManager.stopBackgroundRunning(context).then(() => {,Service ability uses this method to request stop running in background.
input/app/Pedometer/entry/src/main/ets/common/utils/LocationUtil.ets,16,import { geoLocationManager } from '@kit.LocationKit';,28,"geoLocationManager.on('locationChange', requestInfo, locationChange);",Subscribe location changed.
input/app/Pedometer/entry/src/main/ets/common/utils/LocationUtil.ets,16,import { geoLocationManager } from '@kit.LocationKit';,35,geoLocationManager.off('locationChange');,Unsubscribe location changed.
input/app/Pedometer/entry/src/main/ets/common/utils/Logger.ets,16,import { hilog } from '@kit.PerformanceAnalysisKit';,35,"hilog.debug(this.domain, this.prefix, this.format, args);",Outputs debug-level logs.
input/app/Pedometer/entry/src/main/ets/common/utils/Logger.ets,16,import { hilog } from '@kit.PerformanceAnalysisKit';,39,"hilog.info(this.domain, this.prefix, this.format, args);",Outputs info-level logs.
input/app/Pedometer/entry/src/main/ets/common/utils/Logger.ets,16,import { hilog } from '@kit.PerformanceAnalysisKit';,43,"hilog.warn(this.domain, this.prefix, this.format, args);",Outputs warning-level logs.
input/app/Pedometer/entry/src/main/ets/common/utils/Logger.ets,16,import { hilog } from '@kit.PerformanceAnalysisKit';,47,"hilog.error(this.domain, this.prefix, this.format, args);",Outputs error-level logs.
input/app/Pedometer/entry/src/main/ets/common/utils/StepsUtil.ets,17,import { preferences } from '@kit.ArkData';,30,"let preference: Promise<preferences.Preferences> = preferences.getPreferences(context, PREFERENCES_NAME);","Obtains a  instance matching a specified preferences file name.
<p>The  instance loads all data of the preferences file and
resides in the memory. You can use removePreferencesFromCache to remove the instance from the memory."
input/app/Pedometer/entry/src/main/ets/common/utils/StepsUtil.ets,17,import { preferences } from '@kit.ArkData';,57,"preferences.put(key, value).then(() => {",未提取到SDK注释；请在 input/csv/sdk_api_description_override.csv 补充该 API 描述（api=@ohos.data.preferences.put）
input/app/Pedometer/entry/src/main/ets/common/utils/StepsUtil.ets,17,import { preferences } from '@kit.ArkData';,78,"ret = await preferences?.get(key, ret);",未提取到SDK注释；请在 input/csv/sdk_api_description_override.csv 补充该 API 描述（api=@ohos.data.preferences.get）
