App源码文件路径,行号,函数名称,描述
input/app/TodayNews_harmony/entry/src/main/ets/pages/Index.ets,6,build,ArkUI 组件的 UI 构建入口函数
input/app/TodayNews_harmony/entry/src/main/ets/pages/LaunchPage.ets,8,aboutToAppear,组件即将显示时触发的生命周期函数
input/app/TodayNews_harmony/entry/src/main/ets/pages/LaunchPage.ets,14,build,ArkUI 组件的 UI 构建入口函数
input/app/TodayNews_harmony/entry/src/main/ets/pages/MainPage.ets,11,build,ArkUI 组件的 UI 构建入口函数
input/app/TodayNews_harmony/entry/src/main/ets/entryability/EntryAbility.ts,6,onCreate,UIAbility 创建时触发的生命周期函数
input/app/TodayNews_harmony/entry/src/main/ets/entryability/EntryAbility.ts,10,onDestroy,UIAbility 销毁时触发的生命周期函数
input/app/TodayNews_harmony/entry/src/main/ets/entryability/EntryAbility.ts,14,onWindowStageCreate,WindowStage 创建时触发的生命周期函数
input/app/TodayNews_harmony/entry/src/main/ets/entryability/EntryAbility.ts,27,onWindowStageDestroy,WindowStage 销毁时触发的生命周期函数
input/app/TodayNews_harmony/entry/src/main/ets/entryability/EntryAbility.ts,32,onForeground,UIAbility 切换到前台时触发的生命周期函数
input/app/TodayNews_harmony/entry/src/main/ets/entryability/EntryAbility.ts,37,onBackground,UIAbility 切换到后台时触发的生命周期函数
