App源码文件路径,导入行号,导入代码,调用行号,调用代码,API功能描述
input/app/TodayNews_harmony/home/src/main/ets/view/CategoryTabbar.ets,2,import display from '@ohos.display';,18,let displayClass = display.getDefaultDisplaySync();,Obtain the default display.
input/app/TodayNews_harmony/home/src/main/ets/view/CategoryTabbar.ets,5,import promptAction from '@ohos.promptAction';,51,promptAction.showToast({,Displays the notification text.
input/app/TodayNews_harmony/home/src/main/ets/view/CategoryTabbar.ets,5,import promptAction from '@ohos.promptAction';,83,promptAction.showToast({,Displays the notification text.
input/app/TodayNews_harmony/home/src/main/ets/view/LargeNewsView.ets,3,import systemTime from '@ohos.systemDateTime',15,"systemTime.getCurrentTime(false, (error, time) => {",Obtains the number of milliseconds that have elapsed since the Unix epoch.
input/app/TodayNews_harmony/home/src/main/ets/view/MiddleNewsView.ets,2,import systemTime from '@ohos.systemDateTime',15,"systemTime.getCurrentTime(false, (error, time) => {",Obtains the number of milliseconds that have elapsed since the Unix epoch.
input/app/TodayNews_harmony/home/src/main/ets/view/MoreNewsView.ets,2,import systemTime from '@ohos.systemDateTime',16,"systemTime.getCurrentTime(false, (error, time) => {",Obtains the number of milliseconds that have elapsed since the Unix epoch.
input/app/TodayNews_harmony/home/src/main/ets/view/NewsDataList.ets,3,import systemTime from '@ohos.systemDateTime',66,"systemTime.getCurrentTime(false, (error, time) => {",Obtains the number of milliseconds that have elapsed since the Unix epoch.
input/app/TodayNews_harmony/home/src/main/ets/view/NewsDataList.ets,10,import router from '@ohos.router';,112,"router.pushUrl({url:""@bundle:com.news.today/home/ets/pages/DetailPage"",params:item})",Navigates to a specified page in the application based on the page URL and parameters.
input/app/TodayNews_harmony/home/src/main/ets/pages/DetailPage.ets,1,import router from '@ohos.router';,19,const params = router.getParams() as DataModel;,Obtains information about the current page params.
input/app/TodayNews_harmony/home/src/main/ets/pages/DetailPage.ets,1,import router from '@ohos.router';,72,router.back();,Returns to the previous page or a specified page.
input/app/TodayNews_harmony/entry/src/main/ets/pages/LaunchPage.ets,2,import router from '@ohos.router',10,"router.replaceUrl({url:""pages/MainPage""})",Replaces the current page with another one in the application. The current page is destroyed after replacement.
input/app/TodayNews_harmony/entry/src/main/ets/entryability/EntryAbility.ts,2,import hilog from '@ohos.hilog';,7,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onCreate');",Outputs info-level logs.
input/app/TodayNews_harmony/entry/src/main/ets/entryability/EntryAbility.ts,2,import hilog from '@ohos.hilog';,11,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onDestroy');",Outputs info-level logs.
input/app/TodayNews_harmony/entry/src/main/ets/entryability/EntryAbility.ts,2,import hilog from '@ohos.hilog';,16,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onWindowStageCreate');",Outputs info-level logs.
input/app/TodayNews_harmony/entry/src/main/ets/entryability/EntryAbility.ts,2,import hilog from '@ohos.hilog';,20,"hilog.error(0x0000, 'testTag', 'Failed to load the content. Cause: %{public}s', JSON.stringify(err) ?? '');",Outputs error-level logs.
input/app/TodayNews_harmony/entry/src/main/ets/entryability/EntryAbility.ts,2,import hilog from '@ohos.hilog';,23,"hilog.info(0x0000, 'testTag', 'Succeeded in loading the content. Data: %{public}s', JSON.stringify(data) ?? '');",Outputs info-level logs.
input/app/TodayNews_harmony/entry/src/main/ets/entryability/EntryAbility.ts,2,import hilog from '@ohos.hilog';,29,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onWindowStageDestroy');",Outputs info-level logs.
input/app/TodayNews_harmony/entry/src/main/ets/entryability/EntryAbility.ts,2,import hilog from '@ohos.hilog';,34,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onForeground');",Outputs info-level logs.
input/app/TodayNews_harmony/entry/src/main/ets/entryability/EntryAbility.ts,2,import hilog from '@ohos.hilog';,39,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onBackground');",Outputs info-level logs.
input/app/TodayNews_harmony/common/src/main/ets/utils/HttpUtil.ets,1,import http from '@ohos.net.http';,18,let httpRequest = http.createHttp();,Creates an HTTP request task.
input/app/TodayNews_harmony/common/src/main/ets/utils/HttpUtil.ets,1,import http from '@ohos.net.http';,52,let httpRequest = http.createHttp();,Creates an HTTP request task.
input/app/TodayNews_harmony/common/src/main/ets/utils/HttpUtil.ets,1,import http from '@ohos.net.http';,19,"let responseResult = httpRequest.request(url, {",Initiates an HTTP request to a given URL.
input/app/TodayNews_harmony/common/src/main/ets/utils/HttpUtil.ets,1,import http from '@ohos.net.http';,53,"let responseResult = httpRequest.request(url, {",Initiates an HTTP request to a given URL.
input/app/TodayNews_harmony/common/src/main/ets/pages/Index.ets,1,import router from '@ohos.router',13,router.pushUrl({,Navigates to a specified page in the application based on the page URL and parameters.
input/app/TodayNews_harmony/common/src/main/ets/pages/RefreshPullView.ets,1,import display from '@ohos.display';,74,let displayClass = display.getDefaultDisplaySync();,Obtain the default display.
input/app/TodayNews_harmony/common/src/main/ets/pages/TabBarLayout.ets,1,import measure from '@ohos.measure';,155,var textW = measure.measureText({,未提取到SDK注释；请在 input/csv/sdk_api_description_override.csv 补充该 API 描述（api=@ohos.measure.measure.measureText）
input/app/TodayNews_harmony/common/src/main/ets/pages/TabBarLayout.ets,2,import display from '@ohos.display';,173,let promise = display.getAllDisplays();,Obtain all displays.
