App源码文件路径,导入行号,导入代码,调用行号,调用代码,API功能描述
input/app/Wechat_HarmonyOS/entry/src/main/ets/utils/AudioCapturerManager.ets,2,import { audio } from '@kit.AudioKit';,50,AudioCaptureManager.audioCapturer = await audio.createAudioCapturer(audioCapturerOptions);,"Obtains an  instance.
Success: This method uses an asynchronous callback to return the capturer instance.
Failure: This method uses an asynchronous callback to return the error instance. Possible causes:
         6800301: Parameter verification failed, Permission denied, System error;
         6800101: Mandatory parameters are left unspecified, Incorrect parameter types."
input/app/Wechat_HarmonyOS/entry/src/main/ets/utils/AudioCapturerManager.ets,4,import fs from '@ohos.file.fs';,79,"let file = fs.openSync(filePath, fs.OpenMode.READ_WRITE | fs.OpenMode.CREATE);",Synchronously open a file and return a file handle for subsequent I/O.
input/app/Wechat_HarmonyOS/entry/src/main/ets/utils/AudioCapturerManager.ets,4,import fs from '@ohos.file.fs';,89,"fs.writeSync(file.fd, buffer, options);",未提取到SDK注释；请在 input/csv/sdk_api_description_override.csv 补充该 API 描述（api=@ohos.file.fs.writeSync）
input/app/Wechat_HarmonyOS/entry/src/main/ets/utils/AudioRendererManager.ets,2,import { fileIo } from '@kit.CoreFileKit';,46,"let file: fileIo.File = fileIo.openSync(fileName, fileIo.OpenMode.READ_ONLY);",Synchronously open a file and return a file handle for subsequent I/O.
input/app/Wechat_HarmonyOS/entry/src/main/ets/utils/AudioRendererManager.ets,2,import { fileIo } from '@kit.CoreFileKit';,47,const fileSize = fileIo.statSync(file.path).size,Synchronously get file or directory metadata (for example size and timestamps).
input/app/Wechat_HarmonyOS/entry/src/main/ets/utils/AudioRendererManager.ets,2,import { fileIo } from '@kit.CoreFileKit';,53,"fileIo.readSync(file.fd, buffer, options);",Synchronously read file data into a buffer.
input/app/Wechat_HarmonyOS/entry/src/main/ets/utils/AudioRendererManager.ets,1,import { audio } from '@kit.AudioKit';,63,AudioRendererManager.audioRender = await audio.createAudioRenderer(audioRendererOptions),"Obtains an  instance.
This method uses an asynchronous callback to return the renderer instance."
input/app/Wechat_HarmonyOS/entry/src/main/ets/utils/Log.ts,1,import { hilog } from '@kit.PerformanceAnalysisKit',29,"hilog.debug(this._domain, tag, format, args)",Outputs debug-level logs.
input/app/Wechat_HarmonyOS/entry/src/main/ets/utils/Log.ts,1,import { hilog } from '@kit.PerformanceAnalysisKit',39,"hilog.info(this._domain, tag, format, args)",Outputs info-level logs.
input/app/Wechat_HarmonyOS/entry/src/main/ets/utils/Log.ts,1,import { hilog } from '@kit.PerformanceAnalysisKit',49,"hilog.warn(this._domain, tag, format, args)",Outputs warning-level logs.
input/app/Wechat_HarmonyOS/entry/src/main/ets/utils/Log.ts,1,import { hilog } from '@kit.PerformanceAnalysisKit',59,"hilog.error(this._domain, tag, format, args)",Outputs error-level logs.
input/app/Wechat_HarmonyOS/entry/src/main/ets/utils/PermissionUtils.ets,1,"import { abilityAccessCtrl, bundleManager, common, Permissions } from '@kit.AbilityKit';",12,const atManager = abilityAccessCtrl.createAtManager();,Obtains the AtManager instance.
input/app/Wechat_HarmonyOS/entry/src/main/ets/utils/PermissionUtils.ets,1,"import { abilityAccessCtrl, bundleManager, common, Permissions } from '@kit.AbilityKit';",14,const bundleInfo = bundleManager.getBundleInfoForSelfSync(bundleManager.BundleFlag.GET_BUNDLE_INFO_WITH_APPLICATION),Obtains own bundleInfo.
input/app/Wechat_HarmonyOS/entry/src/main/ets/utils/PermissionUtils.ets,1,"import { abilityAccessCtrl, bundleManager, common, Permissions } from '@kit.AbilityKit';",29,const atManager = abilityAccessCtrl.createAtManager();,Obtains the AtManager instance.
input/app/Wechat_HarmonyOS/entry/src/main/ets/utils/PermissionUtils.ets,1,"import { abilityAccessCtrl, bundleManager, common, Permissions } from '@kit.AbilityKit';",43,const bundleInfo = bundleManager.getBundleInfoForSelfSync(bundleManager.BundleFlag.GET_BUNDLE_INFO_WITH_APPLICATION),Obtains own bundleInfo.
input/app/Wechat_HarmonyOS/entry/src/main/ets/utils/PermissionUtils.ets,1,"import { abilityAccessCtrl, bundleManager, common, Permissions } from '@kit.AbilityKit';",18,"const authResults = permissions.map((item) => atManager.checkAccessTokenSync(tokenID, item))","Checks whether a specified application has been granted the given permission.
On the cross-platform, this function can be used to check the permission grant status for the current application only."
input/app/Wechat_HarmonyOS/entry/src/main/ets/utils/PermissionUtils.ets,1,"import { abilityAccessCtrl, bundleManager, common, Permissions } from '@kit.AbilityKit';",31,"const grantStatus = await atManager.requestPermissionsFromUser(getContext(), permissions)",Requests certain permissions from the user.
input/app/Wechat_HarmonyOS/entry/src/main/ets/utils/PhotoPickerUtils.ets,4,"import { camera, cameraPicker } from '@kit.CameraKit';",103,"await cameraPicker.pick(getContext(), [cameraPicker.PickerMediaType.PHOTO, cameraPicker.PickerMediaType.VIDEO],","Launch the camera picker and configure it to photo or video mode base on the incoming media type.
The photo or video result will be returned via a Promise upon completion of the operation."
input/app/Wechat_HarmonyOS/entry/src/main/ets/utils/PhotoPickerUtils.ets,2,import fs from '@ohos.file.fs';,132,if (!fs.accessSync(dir)) {,未提取到SDK注释；请在 input/csv/sdk_api_description_override.csv 补充该 API 描述（api=@ohos.file.fs.accessSync）
input/app/Wechat_HarmonyOS/entry/src/main/ets/utils/PhotoPickerUtils.ets,2,import fs from '@ohos.file.fs';,133,fs.mkdirSync(dir),未提取到SDK注释；请在 input/csv/sdk_api_description_override.csv 补充该 API 描述（api=@ohos.file.fs.mkdirSync）
input/app/Wechat_HarmonyOS/entry/src/main/ets/utils/PhotoPickerUtils.ets,2,import fs from '@ohos.file.fs';,137,"const file = fs.openSync(uri, fs.OpenMode.READ_ONLY)",Synchronously open a file and return a file handle for subsequent I/O.
input/app/Wechat_HarmonyOS/entry/src/main/ets/utils/PhotoPickerUtils.ets,2,import fs from '@ohos.file.fs';,138,"await fs.copyFile(file.fd, newPath)",未提取到SDK注释；请在 input/csv/sdk_api_description_override.csv 补充该 API 描述（api=@ohos.file.fs.copyFile）
input/app/Wechat_HarmonyOS/entry/src/main/ets/utils/SpeechRecognizerManager.ets,1,import { speechRecognizer } from '@kit.CoreSpeechKit';,40,SpeechRecognizerManager.asrEngine = await speechRecognizer.createEngine(SpeechRecognizerManager.initParamsInfo),Create a speech recognition engine instance.
input/app/Wechat_HarmonyOS/entry/src/main/ets/utils/Toast.ets,1,import promptAction from '@ohos.promptAction';,17,promptAction.showToast({,Displays the notification text.
input/app/Wechat_HarmonyOS/entry/src/main/ets/utils/WindowManager.ets,1,import window from '@ohos.window';,14,let windowClass: window.Window = await window.getLastWindow(getContext()),Get the final show window.
input/app/Wechat_HarmonyOS/entry/src/main/ets/utils/WindowManager.ets,1,import window from '@ohos.window';,99,let windowClass = await window.getLastWindow(getContext()),Get the final show window.
input/app/Wechat_HarmonyOS/entry/src/main/ets/utils/permissionMananger.ets,2,"import { abilityAccessCtrl, bundleManager, common, Permissions } from '@kit.AbilityKit';",8,let atManager: abilityAccessCtrl.AtManager = abilityAccessCtrl.createAtManager();,Obtains the AtManager instance.
input/app/Wechat_HarmonyOS/entry/src/main/ets/utils/permissionMananger.ets,2,"import { abilityAccessCtrl, bundleManager, common, Permissions } from '@kit.AbilityKit';",14,bundleManager.getBundleInfoForSelfSync(bundleManager.BundleFlag.GET_BUNDLE_INFO_WITH_APPLICATION);,Obtains own bundleInfo.
input/app/Wechat_HarmonyOS/entry/src/main/ets/utils/permissionMananger.ets,2,"import { abilityAccessCtrl, bundleManager, common, Permissions } from '@kit.AbilityKit';",34,let atManager: abilityAccessCtrl.AtManager = abilityAccessCtrl.createAtManager();,Obtains the AtManager instance.
input/app/Wechat_HarmonyOS/entry/src/main/ets/utils/permissionMananger.ets,2,"import { abilityAccessCtrl, bundleManager, common, Permissions } from '@kit.AbilityKit';",26,"atManager.checkAccessTokenSync(tokenID, permission)","Checks whether a specified application has been granted the given permission.
On the cross-platform, this function can be used to check the permission grant status for the current application only."
input/app/Wechat_HarmonyOS/entry/src/main/ets/utils/permissionMananger.ets,2,"import { abilityAccessCtrl, bundleManager, common, Permissions } from '@kit.AbilityKit';",40,"const result = await atManager.requestPermissionsFromUser(context, permissions);",Requests certain permissions from the user.
input/app/Wechat_HarmonyOS/entry/src/main/ets/pages/HardwareIndexPage.ets,2,import { process } from '@kit.ArkTS';,55,this.uptime = process.uptime(),Returns the running time of the system
input/app/Wechat_HarmonyOS/entry/src/main/ets/pages/HardwareIndexPage.ets,3,import { connection } from '@kit.NetworkKit';,62,const hasDefaultNet = connection.hasDefaultNetSync(),Checks whether the default data network is activated.
input/app/Wechat_HarmonyOS/entry/src/main/ets/pages/HardwareIndexPage.ets,3,import { connection } from '@kit.NetworkKit';,76,const defaultNet = connection.getDefaultNetSync(),"Obtains the data network that is activated by default.
To call this method, you must have the {@code ohos.permission.GET_NETWORK_INFO} permission."
input/app/Wechat_HarmonyOS/entry/src/main/ets/pages/HardwareIndexPage.ets,3,import { connection } from '@kit.NetworkKit';,78,const netCapabilities = connection.getNetCapabilitiesSync(defaultNet),"Obtains  of a  object.
To invoke this method, you must have the {@code ohos.permission.GET_NETWORK_INFO} permission."
input/app/Wechat_HarmonyOS/entry/src/main/ets/pages/HardwareIndexPage.ets,3,import { connection } from '@kit.NetworkKit';,93,const defaultNet = connection.getDefaultNetSync(),"Obtains the data network that is activated by default.
To call this method, you must have the {@code ohos.permission.GET_NETWORK_INFO} permission."
input/app/Wechat_HarmonyOS/entry/src/main/ets/pages/HardwareIndexPage.ets,3,import { connection } from '@kit.NetworkKit';,95,const connectionProperties = connection.getConnectionPropertiesSync(defaultNet),"Queries the connection properties of a network.
This method requires the {@code ohos.permission.GET_NETWORK_INFO} permission."
input/app/Wechat_HarmonyOS/entry/src/main/ets/pages/HardwareIndexPage.ets,6,import { display } from '@kit.ArkUI';,153,const ScreenInfo = display.getDefaultDisplaySync(),Obtain the default display.
input/app/Wechat_HarmonyOS/entry/src/main/ets/pages/HardwareIndexPage.ets,7,import { sensor } from '@kit.SensorServiceKit';,162,let SensorList = await sensor.getSensorList() //获取设备传感器的信息,Obtains all sensor information on the device.
input/app/Wechat_HarmonyOS/entry/src/main/ets/pages/search/SearchPage.ets,4,import window from '@ohos.window';,17,await window.getLastWindow(getContext(this)).then(currentWindow => {,Get the final show window.
input/app/Wechat_HarmonyOS/entry/src/main/ets/pages/search/SearchPage.ets,1,import prompt from '@ohos.promptAction';,56,prompt.showToast({ message: this.searchText }),Displays the notification text.
input/app/Wechat_HarmonyOS/entry/src/main/ets/pages/search/SearchPage.ets,2,import router from '@ohos.router';,117,"if (""1"" === router.getLength()) {",Obtains the number of pages in the current stack.
input/app/Wechat_HarmonyOS/entry/src/main/ets/pages/search/SearchPage.ets,2,import router from '@ohos.router';,121,router.back(),Returns to the previous page or a specified page.
input/app/Wechat_HarmonyOS/entry/src/main/ets/pages/search/SearchPage.ets,1,import prompt from '@ohos.promptAction';,194,prompt.showToast({,Displays the notification text.
input/app/Wechat_HarmonyOS/entry/src/main/ets/pages/mine/Mine.ets,1,import router from '@ohos.router',74,router.pushUrl({ url: 'pages/qrcode/MyQrCodePage' }),Navigates to a specified page in the application based on the page URL and parameters.
input/app/Wechat_HarmonyOS/entry/src/main/ets/pages/home/Home.ets,1,import router from '@ohos.router',51,"router.pushUrl({ url: 'pages/chat/ChatPage',",Navigates to a specified page in the application based on the page URL and parameters.
input/app/Wechat_HarmonyOS/entry/src/main/ets/pages/contact/Contact.ets,2,import router from '@ohos.router',103,router.pushUrl({,Navigates to a specified page in the application based on the page URL and parameters.
input/app/Wechat_HarmonyOS/entry/src/main/ets/pages/contact/Contact.ets,1,import prompt from '@ohos.promptAction',145,"prompt.showToast({ message: """" + target })",Displays the notification text.
input/app/Wechat_HarmonyOS/entry/src/main/ets/pages/chat/ChatPage.ets,1,import router from '@ohos.router';,260,this.name = (router.getParams() as ChatPageParam).name,Obtains information about the current page params.
input/app/Wechat_HarmonyOS/entry/src/main/ets/pages/chat/ChatPage.ets,5,import window from '@ohos.window';,261,await window.getLastWindow(getContext(this)).then(currentWindow => {,Get the final show window.
input/app/Wechat_HarmonyOS/entry/src/main/ets/pages/chat/ChatPage.ets,13,import { componentUtils } from '@kit.ArkUI';,627,"let modePosition: componentUtils.ComponentInfo = componentUtils.getRectangleById(""bottom_bubble"");",Provide the ability to obtain the coordinates and size of component drawing areas.
input/app/Wechat_HarmonyOS/entry/src/main/ets/pages/chat/ChatPage.ets,14,import { vibrator } from '@kit.SensorServiceKit';,667,vibrator.startVibration({,Trigger vibrator vibration.
input/app/Wechat_HarmonyOS/entry/src/main/ets/entryability/EntryAbility.ets,2,import hilog from '@ohos.hilog';,11,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onCreate');",Outputs info-level logs.
input/app/Wechat_HarmonyOS/entry/src/main/ets/entryability/EntryAbility.ets,2,import hilog from '@ohos.hilog';,15,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onDestroy');",Outputs info-level logs.
input/app/Wechat_HarmonyOS/entry/src/main/ets/entryability/EntryAbility.ets,2,import hilog from '@ohos.hilog';,21,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onWindowStageCreate');",Outputs info-level logs.
