App源码文件路径,行号,函数名称,描述
input/app/Wechat_HarmonyOS/entry/src/main/ets/pages/HardwareIndexPage.ets,43,onPageShow,页面显示时触发的生命周期函数
input/app/Wechat_HarmonyOS/entry/src/main/ets/pages/HardwareIndexPage.ets,182,build,ArkUI 组件的 UI 构建入口函数
input/app/Wechat_HarmonyOS/entry/src/main/ets/pages/HardwareIndexPage.ets,261,build,ArkUI 组件的 UI 构建入口函数
input/app/Wechat_HarmonyOS/entry/src/main/ets/pages/Index.ets,16,build,ArkUI 组件的 UI 构建入口函数
input/app/Wechat_HarmonyOS/entry/src/main/ets/pages/search/SearchPage.ets,16,aboutToAppear,组件即将显示时触发的生命周期函数
input/app/Wechat_HarmonyOS/entry/src/main/ets/pages/search/SearchPage.ets,24,onBackPress,返回键事件回调（页面/组件）
input/app/Wechat_HarmonyOS/entry/src/main/ets/pages/search/SearchPage.ets,28,build,ArkUI 组件的 UI 构建入口函数
input/app/Wechat_HarmonyOS/entry/src/main/ets/pages/qrcode/MyQrCodePage.ets,8,build,ArkUI 组件的 UI 构建入口函数
input/app/Wechat_HarmonyOS/entry/src/main/ets/pages/mine/Mine.ets,12,build,ArkUI 组件的 UI 构建入口函数
input/app/Wechat_HarmonyOS/entry/src/main/ets/pages/home/Home.ets,41,build,ArkUI 组件的 UI 构建入口函数
input/app/Wechat_HarmonyOS/entry/src/main/ets/pages/discovery/Discovery.ets,7,build,ArkUI 组件的 UI 构建入口函数
input/app/Wechat_HarmonyOS/entry/src/main/ets/pages/contact/Contact.ets,84,build,ArkUI 组件的 UI 构建入口函数
input/app/Wechat_HarmonyOS/entry/src/main/ets/pages/chat/ChatFuntionBar.ets,5,build,ArkUI 组件的 UI 构建入口函数
input/app/Wechat_HarmonyOS/entry/src/main/ets/pages/chat/ChatPage.ets,259,aboutToAppear,组件即将显示时触发的生命周期函数
input/app/Wechat_HarmonyOS/entry/src/main/ets/pages/chat/ChatPage.ets,268,onBackPress,返回键事件回调（页面/组件）
input/app/Wechat_HarmonyOS/entry/src/main/ets/pages/chat/ChatPage.ets,330,build,ArkUI 组件的 UI 构建入口函数
input/app/Wechat_HarmonyOS/entry/src/main/ets/entryability/EntryAbility.ets,10,onCreate,UIAbility 创建时触发的生命周期函数
input/app/Wechat_HarmonyOS/entry/src/main/ets/entryability/EntryAbility.ets,14,onDestroy,UIAbility 销毁时触发的生命周期函数
input/app/Wechat_HarmonyOS/entry/src/main/ets/entryability/EntryAbility.ets,18,onWindowStageCreate,WindowStage 创建时触发的生命周期函数
input/app/Wechat_HarmonyOS/entry/src/main/ets/entryability/EntryAbility.ets,32,onWindowStageDestroy,WindowStage 销毁时触发的生命周期函数
input/app/Wechat_HarmonyOS/entry/src/main/ets/entryability/EntryAbility.ets,37,onForeground,UIAbility 切换到前台时触发的生命周期函数
input/app/Wechat_HarmonyOS/entry/src/main/ets/entryability/EntryAbility.ets,42,onBackground,UIAbility 切换到后台时触发的生命周期函数
input/app/Wechat_HarmonyOS/entry/src/main/ets/component/ListChatContentLeftItem.ets,9,build,ArkUI 组件的 UI 构建入口函数
input/app/Wechat_HarmonyOS/entry/src/main/ets/component/ListChatContentLeftItem.ets,84,aboutToDisappear,组件即将消失时触发的生命周期函数
input/app/Wechat_HarmonyOS/entry/src/main/ets/component/ListChatContentRightItem.ets,9,build,ArkUI 组件的 UI 构建入口函数
input/app/Wechat_HarmonyOS/entry/src/main/ets/component/ListChatContentRightItem.ets,84,aboutToDisappear,组件即将消失时触发的生命周期函数
input/app/Wechat_HarmonyOS/entry/src/main/ets/component/ListChatItem.ets,10,build,ArkUI 组件的 UI 构建入口函数
input/app/Wechat_HarmonyOS/entry/src/main/ets/component/ListContactItem.ets,7,build,ArkUI 组件的 UI 构建入口函数
input/app/Wechat_HarmonyOS/entry/src/main/ets/component/ListMenuItem.ets,9,build,ArkUI 组件的 UI 构建入口函数
input/app/Wechat_HarmonyOS/entry/src/main/ets/component/SoundRecordComponent.ets,4,build,ArkUI 组件的 UI 构建入口函数
input/app/Wechat_HarmonyOS/entry/src/main/ets/component/Toolbar.ets,13,build,ArkUI 组件的 UI 构建入口函数
input/app/Wechat_HarmonyOS/entry/src/main/ets/component/WechatToolbar.ets,10,build,ArkUI 组件的 UI 构建入口函数
