App源码文件路径,导入行号,导入代码,调用行号,调用代码,API功能描述
input/app/codeLab_API/entry/src/main/ets/pages/GetSystemInfo.ets,1,import { atomicService } from '@kit.ScenarioFusionKit';,11,atomicService.getSystemInfo(stateArray).then((data: atomicService.SystemInfo) => {,未提取到SDK注释；请在 input/csv/sdk_api_description_override.csv 补充该 API 描述（api=@kit.ScenarioFusionKit.atomicService.getSystemInfo）
input/app/codeLab_API/entry/src/main/ets/pages/GetSystemInfo.ets,2,import { hilog } from '@kit.PerformanceAnalysisKit';,12,"hilog.info(0x0000, 'testTag', 'succeeded in getting system info asynchronously');",Outputs info-level logs.
input/app/codeLab_API/entry/src/main/ets/pages/GetSystemInfo.ets,2,import { hilog } from '@kit.PerformanceAnalysisKit';,31,"hilog.error(0x0000, 'testTag', 'Promise error: %{public}d %{public}s', error.code, error.message);",Outputs error-level logs.
input/app/codeLab_API/entry/src/main/ets/pages/GetSystemInfo.ets,2,import { hilog } from '@kit.PerformanceAnalysisKit';,34,"hilog.error(0x0000, 'testTag', 'failReason: %{public}d %{public}s', error.code, error.message);",Outputs error-level logs.
input/app/codeLab_API/entry/src/main/ets/pages/GetSystemInfoSync.ets,1,import { atomicService } from '@kit.ScenarioFusionKit';,8,let data = atomicService.getSystemInfoSync(stateArray);,未提取到SDK注释；请在 input/csv/sdk_api_description_override.csv 补充该 API 描述（api=@kit.ScenarioFusionKit.atomicService.getSystemInfoSync）
input/app/codeLab_API/entry/src/main/ets/pages/GetSystemInfoSync.ets,2,import { hilog } from '@kit.PerformanceAnalysisKit';,9,"hilog.info(0x0000, 'testTag', 'succeeded in getting system info');",Outputs info-level logs.
input/app/codeLab_API/entry/src/main/ets/pages/GetSystemInfoSync.ets,2,import { hilog } from '@kit.PerformanceAnalysisKit';,24,"hilog.error(0x0000, 'testTag', 'failReason: %{public}d %{public}s', error.code, error.message);",Outputs error-level logs.
input/app/codeLab_API/entry/src/main/ets/pages/GetSystemSetting.ets,1,import { atomicService } from '@kit.ScenarioFusionKit';,7,let data = atomicService.getSystemSetting(stateArray);,未提取到SDK注释；请在 input/csv/sdk_api_description_override.csv 补充该 API 描述（api=@kit.ScenarioFusionKit.atomicService.getSystemSetting）
input/app/codeLab_API/entry/src/main/ets/pages/GetSystemSetting.ets,2,import { hilog } from '@kit.PerformanceAnalysisKit';,8,"hilog.info(0x0000, 'testTag', 'succeeded in getting system setting info');",Outputs info-level logs.
input/app/codeLab_API/entry/src/main/ets/pages/GetSystemSetting.ets,2,import { hilog } from '@kit.PerformanceAnalysisKit';,14,"hilog.error(0x0001, 'testTag', 'failReason: %{public}d %{public}s', error.code, error.message);",Outputs error-level logs.
input/app/codeLab_API/entry/src/main/ets/pages/Index.ets,1,import { atomicService } from '@kit.ScenarioFusionKit',19,atomicService.getSystemInfo(arr).then((result) => {,未提取到SDK注释；请在 input/csv/sdk_api_description_override.csv 补充该 API 描述（api=@kit.ScenarioFusionKit.atomicService.getSystemInfo）
input/app/codeLab_API/entry/src/main/ets/pages/Index.ets,1,import { atomicService } from '@kit.ScenarioFusionKit',31,let result = atomicService.getSystemInfoSync(arr);,未提取到SDK注释；请在 input/csv/sdk_api_description_override.csv 补充该 API 描述（api=@kit.ScenarioFusionKit.atomicService.getSystemInfoSync）
input/app/codeLab_API/entry/src/main/ets/pages/Index.ets,1,import { atomicService } from '@kit.ScenarioFusionKit',42,let result = atomicService.getSystemSetting(arr);,未提取到SDK注释；请在 input/csv/sdk_api_description_override.csv 补充该 API 描述（api=@kit.ScenarioFusionKit.atomicService.getSystemSetting）
input/app/codeLab_API/entry/src/main/ets/entryability/EntryAbility.ets,2,import { hilog } from '@kit.PerformanceAnalysisKit';,7,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onCreate');",Outputs info-level logs.
input/app/codeLab_API/entry/src/main/ets/entryability/EntryAbility.ets,2,import { hilog } from '@kit.PerformanceAnalysisKit';,11,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onDestroy');",Outputs info-level logs.
input/app/codeLab_API/entry/src/main/ets/entryability/EntryAbility.ets,2,import { hilog } from '@kit.PerformanceAnalysisKit';,16,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onWindowStageCreate');",Outputs info-level logs.
input/app/codeLab_API/entry/src/main/ets/entryability/EntryAbility.ets,2,import { hilog } from '@kit.PerformanceAnalysisKit';,20,"hilog.error(0x0000, 'testTag', 'Failed to load the content. Cause: %{public}d %{public}s', err.code,",Outputs error-level logs.
input/app/codeLab_API/entry/src/main/ets/entryability/EntryAbility.ets,2,import { hilog } from '@kit.PerformanceAnalysisKit';,24,"hilog.info(0x0000, 'testTag', 'Succeeded in loading the content.');",Outputs info-level logs.
input/app/codeLab_API/entry/src/main/ets/entryability/EntryAbility.ets,2,import { hilog } from '@kit.PerformanceAnalysisKit';,30,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onWindowStageDestroy');",Outputs info-level logs.
input/app/codeLab_API/entry/src/main/ets/entryability/EntryAbility.ets,2,import { hilog } from '@kit.PerformanceAnalysisKit';,35,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onForeground');",Outputs info-level logs.
input/app/codeLab_API/entry/src/main/ets/entryability/EntryAbility.ets,2,import { hilog } from '@kit.PerformanceAnalysisKit';,40,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onBackground');",Outputs info-level logs.
