App源码文件路径,导入行号,导入代码,调用行号,调用代码,API功能描述
input/app/device-security-kit/entry/src/main/ets/model/DevCertManagerModel.ts,2,import { deviceCertificate } from '@kit.DeviceSecurityKit';,10,deviceCertificate.getDeviceToken().then((token) => {,未提取到SDK注释；请在 input/csv/sdk_api_description_override.csv 补充该 API 描述（api=@kit.DeviceSecurityKit.deviceCertificate.getDeviceToken）
input/app/device-security-kit/entry/src/main/ets/model/DevCertManagerModel.ts,1,import { hilog } from '@kit.PerformanceAnalysisKit';,11,"hilog.info(0x0000, TAG, 'Succeeded in executing getDeviceToken success');",Outputs info-level logs.
input/app/device-security-kit/entry/src/main/ets/model/DevCertManagerModel.ts,1,import { hilog } from '@kit.PerformanceAnalysisKit';,14,"hilog.error(0x0000, TAG, '%{public}s', 'getDeviceToken failed! err code: ' + err.code +",Outputs error-level logs.
input/app/device-security-kit/entry/src/main/ets/model/DevCertManagerModel.ts,1,import { hilog } from '@kit.PerformanceAnalysisKit';,20,"hilog.error(0x0000, TAG, '%{public}s', 'getDeviceToken failed! catch err code: ' + error.code +",Outputs error-level logs.
input/app/device-security-kit/entry/src/main/ets/model/DevCertManagerModel.ts,1,import { hilog } from '@kit.PerformanceAnalysisKit';,32,"hilog.info(0x0000, TAG, 'getDeviceToken start');",Outputs info-level logs.
input/app/device-security-kit/entry/src/main/ets/model/DevCertManagerModel.ts,1,import { hilog } from '@kit.PerformanceAnalysisKit';,34,"hilog.info(0x0000, TAG, '%{public}s', 'Succeeded in executing getDeviceToken, deviceToken is ' + token);",Outputs info-level logs.
input/app/device-security-kit/entry/src/main/ets/entryability/EntryAbility.ets,2,import { hilog } from '@kit.PerformanceAnalysisKit';,7,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onCreate');",Outputs info-level logs.
input/app/device-security-kit/entry/src/main/ets/entryability/EntryAbility.ets,2,import { hilog } from '@kit.PerformanceAnalysisKit';,11,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onDestroy');",Outputs info-level logs.
input/app/device-security-kit/entry/src/main/ets/entryability/EntryAbility.ets,2,import { hilog } from '@kit.PerformanceAnalysisKit';,16,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onWindowStageCreate');",Outputs info-level logs.
input/app/device-security-kit/entry/src/main/ets/entryability/EntryAbility.ets,2,import { hilog } from '@kit.PerformanceAnalysisKit';,20,"hilog.error(0x0000, 'testTag', 'Failed to load the content. Cause: %{public}s', JSON.stringify(err) ?? '');",Outputs error-level logs.
input/app/device-security-kit/entry/src/main/ets/entryability/EntryAbility.ets,2,import { hilog } from '@kit.PerformanceAnalysisKit';,23,"hilog.info(0x0000, 'testTag', 'Succeeded in loading the content. Data: %{public}s', JSON.stringify(data) ?? '');",Outputs info-level logs.
input/app/device-security-kit/entry/src/main/ets/entryability/EntryAbility.ets,2,import { hilog } from '@kit.PerformanceAnalysisKit';,29,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onWindowStageDestroy');",Outputs info-level logs.
input/app/device-security-kit/entry/src/main/ets/entryability/EntryAbility.ets,2,import { hilog } from '@kit.PerformanceAnalysisKit';,34,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onForeground');",Outputs info-level logs.
input/app/device-security-kit/entry/src/main/ets/entryability/EntryAbility.ets,2,import { hilog } from '@kit.PerformanceAnalysisKit';,39,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onBackground');",Outputs info-level logs.
