App源码文件路径,导入行号,导入代码,调用行号,调用代码,API功能描述
input/app/ohbili/entry/src/main/ets/view/video/Player.ets,44,import display from '@ohos.display';,133,let dis = display.getDefaultDisplaySync();,Obtain the default display.
input/app/ohbili/entry/src/main/ets/view/video/Player.ets,13,import prompt from '@ohos.prompt';,336,prompt.showToast({,Displays the notification text.
input/app/ohbili/entry/src/main/ets/view/video/Player.ets,14,import router from '@ohos.router';,469,router.back();,Returns to the previous page or a specified page.
input/app/ohbili/entry/src/main/ets/view/mine/MoreServer.ets,12,import router from '@ohos.router',39,"router.pushUrl({ url: ""pages/Setting"" });",Navigates to a specified page in the application based on the page URL and parameters.
input/app/ohbili/entry/src/main/ets/view/mine/MoreServer.ets,12,import router from '@ohos.router',58,"router.pushUrl({ url: ""pages/Feedback"" });",Navigates to a specified page in the application based on the page URL and parameters.
input/app/ohbili/entry/src/main/ets/view/mine/MoreServer.ets,12,import router from '@ohos.router',77,"router.pushUrl({ url: ""pages/About"" });",Navigates to a specified page in the application based on the page URL and parameters.
input/app/ohbili/entry/src/main/ets/view/mine/UserHead.ets,13,import promptAction from '@ohos.promptAction',42,promptAction.showToast({,Displays the notification text.
input/app/ohbili/entry/src/main/ets/view/home/PopularItem.ets,13,import router from '@ohos.router',105,"router.replaceUrl({ url: 'pages/Video', params: { vInfo: this.item } });",Replaces the current page with another one in the application. The current page is destroyed after replacement.
input/app/ohbili/entry/src/main/ets/view/home/PopularItem.ets,13,import router from '@ohos.router',107,"router.pushUrl({ url: 'pages/Video', params: { vInfo: this.item } });",Navigates to a specified page in the application based on the page URL and parameters.
input/app/ohbili/entry/src/main/ets/view/home/RecommendItem.ets,13,import router from '@ohos.router',84,"router.pushUrl({ url: 'pages/Video', params: { vInfo: this.item } });",Navigates to a specified page in the application based on the page URL and parameters.
input/app/ohbili/entry/src/main/ets/view/home/SearchBar.ets,13,import router from '@ohos.router';,31,"router.pushUrl({ url: 'pages/Search', params: {",Navigates to a specified page in the application based on the page URL and parameters.
input/app/ohbili/entry/src/main/ets/view/home/SearchBar.ets,14,import promptAction from '@ohos.promptAction',40,promptAction.showToast({,Displays the notification text.
input/app/ohbili/entry/src/main/ets/view/home/SearchBar.ets,13,import router from '@ohos.router';,65,router.back();,Returns to the previous page or a specified page.
input/app/ohbili/entry/src/main/ets/view/home/SearchBar.ets,13,import router from '@ohos.router';,91,"router.pushUrl({ url: ""pages/SearchResult"", params: { keyword: this.keyword } })",Navigates to a specified page in the application based on the page URL and parameters.
input/app/ohbili/entry/src/main/ets/view/home/SearchBar.ets,13,import router from '@ohos.router';,93,"router.pushUrl({ url: ""pages/SearchResult"", params: { keyword: this.placeholder }})",Navigates to a specified page in the application based on the page URL and parameters.
input/app/ohbili/entry/src/main/ets/view/home/SearchBar.ets,14,import promptAction from '@ohos.promptAction',95,promptAction.showToast({,Displays the notification text.
input/app/ohbili/entry/src/main/ets/view/base/OhNavBar.ets,12,import router from '@ohos.router';,30,router.back();,Returns to the previous page or a specified page.
input/app/ohbili/entry/src/main/ets/utils/StringUtil.ts,12,import cryptoFramework from '@ohos.security.cryptoFramework';,71,"const encryptor = cryptoFramework.createMd(""MD5"");",Provides the md create func.
input/app/ohbili/entry/src/main/ets/player/AvPlayer.ets,15,import media from '@ohos.multimedia.media';,31,media.createAVPlayer().then(player => {,Creates an AVPlayer instance.
input/app/ohbili/entry/src/main/ets/pages/Feedback.ets,14,import fs from '@ohos.file.fs';,42,fs.listFile(`${globalThis.filesDir}/log`).then((files: string[]) => {,未提取到SDK注释；请在 input/csv/sdk_api_description_override.csv 补充该 API 描述（api=@ohos.file.fs.listFile）
input/app/ohbili/entry/src/main/ets/pages/LogDetail.ets,13,import router from '@ohos.router',27,let params = router.getParams() as LogDetailParams | undefined;,Obtains information about the current page params.
input/app/ohbili/entry/src/main/ets/pages/LogDetail.ets,14,import fs from '@ohos.file.fs';,31,this.logStr = fs.readTextSync(this.logFilePath),未提取到SDK注释；请在 input/csv/sdk_api_description_override.csv 补充该 API 描述（api=@ohos.file.fs.readTextSync）
input/app/ohbili/entry/src/main/ets/pages/Moments.ets,14,import promptAction from '@ohos.promptAction',25,promptAction.showToast({,Displays the notification text.
