App源码文件路径,行号,函数名称,描述
input/app/ohbili/entry/src/main/ets/view/video/Player.ets,132,aboutToAppear,组件即将显示时触发的生命周期函数
input/app/ohbili/entry/src/main/ets/view/video/Player.ets,149,build,ArkUI 组件的 UI 构建入口函数
input/app/ohbili/entry/src/main/ets/view/video/Player.ets,460,build,ArkUI 组件的 UI 构建入口函数
input/app/ohbili/entry/src/main/ets/view/video/ReplyDetail.ets,32,aboutToAppear,组件即将显示时触发的生命周期函数
input/app/ohbili/entry/src/main/ets/view/video/ReplyDetail.ets,49,build,ArkUI 组件的 UI 构建入口函数
input/app/ohbili/entry/src/main/ets/view/video/ReplyItem.ets,23,build,ArkUI 组件的 UI 构建入口函数
input/app/ohbili/entry/src/main/ets/view/video/VideoOverview.ets,28,build,ArkUI 组件的 UI 构建入口函数
input/app/ohbili/entry/src/main/ets/view/video/VideoRelated.ets,25,build,ArkUI 组件的 UI 构建入口函数
input/app/ohbili/entry/src/main/ets/view/video/VideoReply.ets,34,build,ArkUI 组件的 UI 构建入口函数
input/app/ohbili/entry/src/main/ets/view/video/VideoTopBar.ets,19,build,ArkUI 组件的 UI 构建入口函数
input/app/ohbili/entry/src/main/ets/view/mine/MineOpt.ets,15,build,ArkUI 组件的 UI 构建入口函数
input/app/ohbili/entry/src/main/ets/view/mine/MoreServer.ets,16,build,ArkUI 组件的 UI 构建入口函数
input/app/ohbili/entry/src/main/ets/view/mine/UserHead.ets,17,build,ArkUI 组件的 UI 构建入口函数
input/app/ohbili/entry/src/main/ets/view/mine/UserState.ets,15,build,ArkUI 组件的 UI 构建入口函数
input/app/ohbili/entry/src/main/ets/view/home/HomePullToRefresh.ets,46,build,ArkUI 组件的 UI 构建入口函数
input/app/ohbili/entry/src/main/ets/view/home/PopularItem.ets,24,build,ArkUI 组件的 UI 构建入口函数
input/app/ohbili/entry/src/main/ets/view/home/RecommendItem.ets,24,build,ArkUI 组件的 UI 构建入口函数
input/app/ohbili/entry/src/main/ets/view/home/SearchBar.ets,21,build,ArkUI 组件的 UI 构建入口函数
input/app/ohbili/entry/src/main/ets/view/home/SearchBar.ets,59,build,ArkUI 组件的 UI 构建入口函数
input/app/ohbili/entry/src/main/ets/view/base/OhNavBar.ets,22,build,ArkUI 组件的 UI 构建入口函数
input/app/ohbili/entry/src/main/ets/view/base/SettingRow.ets,21,build,ArkUI 组件的 UI 构建入口函数
input/app/ohbili/entry/src/main/ets/view/base/SettingSwitchItem.ets,21,build,ArkUI 组件的 UI 构建入口函数
input/app/ohbili/entry/src/main/ets/view/base/SettingTextItem.ets,29,build,ArkUI 组件的 UI 构建入口函数
input/app/ohbili/entry/src/main/ets/pages/About.ets,24,build,ArkUI 组件的 UI 构建入口函数
input/app/ohbili/entry/src/main/ets/pages/BingeWatch.ets,6,build,ArkUI 组件的 UI 构建入口函数
input/app/ohbili/entry/src/main/ets/pages/Feedback.ets,38,aboutToAppear,组件即将显示时触发的生命周期函数
input/app/ohbili/entry/src/main/ets/pages/Feedback.ets,69,build,ArkUI 组件的 UI 构建入口函数
input/app/ohbili/entry/src/main/ets/pages/Home.ets,29,aboutToAppear,组件即将显示时触发的生命周期函数
input/app/ohbili/entry/src/main/ets/pages/Home.ets,35,aboutToDisappear,组件即将消失时触发的生命周期函数
input/app/ohbili/entry/src/main/ets/pages/Home.ets,63,build,ArkUI 组件的 UI 构建入口函数
input/app/ohbili/entry/src/main/ets/pages/Index.ets,42,onPageShow,页面显示时触发的生命周期函数
input/app/ohbili/entry/src/main/ets/pages/Index.ets,48,onPageHide,页面隐藏时触发的生命周期函数
input/app/ohbili/entry/src/main/ets/pages/Index.ets,52,build,ArkUI 组件的 UI 构建入口函数
input/app/ohbili/entry/src/main/ets/pages/LogDetail.ets,26,aboutToAppear,组件即将显示时触发的生命周期函数
input/app/ohbili/entry/src/main/ets/pages/LogDetail.ets,34,build,ArkUI 组件的 UI 构建入口函数
input/app/ohbili/entry/src/main/ets/pages/Mine.ets,20,build,ArkUI 组件的 UI 构建入口函数
input/app/ohbili/entry/src/main/ets/pages/Moments.ets,18,build,ArkUI 组件的 UI 构建入口函数
input/app/ohbili/entry/src/main/ets/pages/Popular.ets,26,build,ArkUI 组件的 UI 构建入口函数
input/app/ohbili/entry/src/main/ets/pages/Recommend.ets,27,build,ArkUI 组件的 UI 构建入口函数
input/app/ohbili/entry/src/main/ets/pages/Search.ets,30,aboutToAppear,组件即将显示时触发的生命周期函数
input/app/ohbili/entry/src/main/ets/pages/Search.ets,40,build,ArkUI 组件的 UI 构建入口函数
input/app/ohbili/entry/src/main/ets/pages/SearchResult.ets,36,aboutToAppear,组件即将显示时触发的生命周期函数
input/app/ohbili/entry/src/main/ets/pages/SearchResult.ets,48,aboutToDisappear,组件即将消失时触发的生命周期函数
input/app/ohbili/entry/src/main/ets/pages/SearchResult.ets,52,build,ArkUI 组件的 UI 构建入口函数
input/app/ohbili/entry/src/main/ets/pages/Setting.ets,35,build,ArkUI 组件的 UI 构建入口函数
