App源码文件路径,导入行号,导入代码,调用行号,调用代码,API功能描述
input/app/open_neteasy_cloud/entry/src/main/ets/view/CategoryComponent.ets,1,import router from '@ohos.router';,36,router.pushUrl({,Navigates to a specified page in the application based on the page URL and parameters.
input/app/open_neteasy_cloud/entry/src/main/ets/pages/DailyRecommendPage.ets,1,import router from '@ohos.router';,14,if (router.getParams()) {,Obtains information about the current page params.
input/app/open_neteasy_cloud/entry/src/main/ets/pages/DailyRecommendPage.ets,1,import router from '@ohos.router';,15,this.titleParam = router.getParams()[CommonConstants.KEY_PARAM_DATA] as Resource;,Obtains information about the current page params.
input/app/open_neteasy_cloud/entry/src/main/ets/pages/DailyRecommendPage.ets,1,import router from '@ohos.router';,47,router.pushUrl({,Navigates to a specified page in the application based on the page URL and parameters.
input/app/open_neteasy_cloud/entry/src/main/ets/pages/HomePage.ets,1,import router from '@ohos.router';,14,if (router.getParams()) {,Obtains information about the current page params.
input/app/open_neteasy_cloud/entry/src/main/ets/pages/HomePage.ets,1,import router from '@ohos.router';,15,this.titleParam = router.getParams()[CommonConstants.KEY_PARAM_DATA] as Resource;,Obtains information about the current page params.
input/app/open_neteasy_cloud/entry/src/main/ets/pages/HomePage.ets,1,import router from '@ohos.router';,47,router.pushUrl({,Navigates to a specified page in the application based on the page URL and parameters.
input/app/open_neteasy_cloud/entry/src/main/ets/pages/IndexPage.ets,1,import router from '@ohos.router';,17,if (router.getParams()) {,Obtains information about the current page params.
input/app/open_neteasy_cloud/entry/src/main/ets/pages/IndexPage.ets,1,import router from '@ohos.router';,18,this.titleParam = router.getParams()[CommonConstants.KEY_PARAM_DATA] as Resource;,Obtains information about the current page params.
input/app/open_neteasy_cloud/entry/src/main/ets/entryability/EntryAbility.ts,2,import hilog from '@ohos.hilog';,12,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onCreate');",Outputs info-level logs.
input/app/open_neteasy_cloud/entry/src/main/ets/entryability/EntryAbility.ts,2,import hilog from '@ohos.hilog';,16,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onDestroy');",Outputs info-level logs.
input/app/open_neteasy_cloud/entry/src/main/ets/entryability/EntryAbility.ts,2,import hilog from '@ohos.hilog';,21,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onWindowStageCreate');",Outputs info-level logs.
input/app/open_neteasy_cloud/entry/src/main/ets/entryability/EntryAbility.ts,2,import hilog from '@ohos.hilog';,25,"hilog.error(0x0000, 'testTag', 'Failed to load the content. Cause: %{public}s', JSON.stringify(err) ?? '');",Outputs error-level logs.
input/app/open_neteasy_cloud/entry/src/main/ets/entryability/EntryAbility.ts,2,import hilog from '@ohos.hilog';,28,"hilog.info(0x0000, 'testTag', 'Succeeded in loading the content. Data: %{public}s', JSON.stringify(data) ?? '');",Outputs info-level logs.
input/app/open_neteasy_cloud/entry/src/main/ets/entryability/EntryAbility.ts,2,import hilog from '@ohos.hilog';,34,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onWindowStageDestroy');",Outputs info-level logs.
input/app/open_neteasy_cloud/entry/src/main/ets/entryability/EntryAbility.ts,2,import hilog from '@ohos.hilog';,39,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onForeground');",Outputs info-level logs.
input/app/open_neteasy_cloud/entry/src/main/ets/entryability/EntryAbility.ts,2,import hilog from '@ohos.hilog';,44,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onBackground');",Outputs info-level logs.
