App源码文件路径,行号,函数名称,描述
input/app/open_neteasy_cloud/entry/src/main/ets/view/CategoryComponent.ets,12,build,ArkUI 组件的 UI 构建入口函数
input/app/open_neteasy_cloud/entry/src/main/ets/view/DetailListComponent.ets,10,build,ArkUI 组件的 UI 构建入口函数
input/app/open_neteasy_cloud/entry/src/main/ets/pages/DailyRecommendPage.ets,13,aboutToAppear,组件即将显示时触发的生命周期函数
input/app/open_neteasy_cloud/entry/src/main/ets/pages/DailyRecommendPage.ets,19,build,ArkUI 组件的 UI 构建入口函数
input/app/open_neteasy_cloud/entry/src/main/ets/pages/HomePage.ets,13,aboutToAppear,组件即将显示时触发的生命周期函数
input/app/open_neteasy_cloud/entry/src/main/ets/pages/HomePage.ets,19,build,ArkUI 组件的 UI 构建入口函数
input/app/open_neteasy_cloud/entry/src/main/ets/pages/IndexPage.ets,16,aboutToAppear,组件即将显示时触发的生命周期函数
input/app/open_neteasy_cloud/entry/src/main/ets/pages/IndexPage.ets,176,build,ArkUI 组件的 UI 构建入口函数
input/app/open_neteasy_cloud/entry/src/main/ets/entryability/EntryAbility.ts,11,onCreate,UIAbility 创建时触发的生命周期函数
input/app/open_neteasy_cloud/entry/src/main/ets/entryability/EntryAbility.ts,15,onDestroy,UIAbility 销毁时触发的生命周期函数
input/app/open_neteasy_cloud/entry/src/main/ets/entryability/EntryAbility.ts,19,onWindowStageCreate,WindowStage 创建时触发的生命周期函数
input/app/open_neteasy_cloud/entry/src/main/ets/entryability/EntryAbility.ts,32,onWindowStageDestroy,WindowStage 销毁时触发的生命周期函数
input/app/open_neteasy_cloud/entry/src/main/ets/entryability/EntryAbility.ts,37,onForeground,UIAbility 切换到前台时触发的生命周期函数
input/app/open_neteasy_cloud/entry/src/main/ets/entryability/EntryAbility.ts,42,onBackground,UIAbility 切换到后台时触发的生命周期函数
